day,hour,% difference
1,0,0.17812722
1,0,0.23506669
1,1,0.14183039
1,1,0.22332137
1,2,0.18332728
1,2,0.1873696
1,3,0.29213946
1,3,0.23450628
1,4,0.22447584
1,4,0.19758232
1,5,0.28347906
1,5,0.22506059
1,6,0.2594575
1,6,0.013265
1,7,0.27681482
1,7,0.00448001
1,8,0.21848061
1,8,0.00056877
1,9,0.29525638
1,9,0.00193355
1,10,0.28318728
1,10,0.02836991
1,11,0.27413036
1,11,0.01044951
1,12,0.26937241
1,12,0.00594997
1,13,0.28591517
1,13,0.01045535
1,14,0.27445815
1,14,0.01549908
1,15,0.20616659
1,15,0.00193275
1,16,0.19795979
1,16,0.01196959
1,17,0.20830491
1,17,0.03391614
1,18,0.17917673
1,18,0.03574267
1,19,0.10252701
1,19,0.0379357
1,20,0.08466374
1,20,0.0455094
1,21,0.10413117
1,21,0.02513723
1,22,0.16305252
1,22,0.10357216
1,23,0.20021013
1,23,0.13255793
2,0,0.21479519
2,0,0.10120548
2,1,0.23339132
2,1,0.08788406
2,2,0.21143485
2,2,0.0613945
2,3,0.19601894
2,3,0.04152199
2,4,0.19340951
2,4,0.00794942
2,5,0.1836351
2,5,0.02276737
2,6,0.00668059
2,6,0.0564781
2,7,0.04751907
2,7,0.03099048
2,8,0.01436579
2,8,0.00089527
2,9,0.0152233
2,9,0.0145279
2,10,0.00882998
2,10,0.03082347
2,11,0.00924667
2,11,0.00474465
2,12,0.05060234
2,12,0.0156438
2,13,0.0914532
2,13,0.01715725
2,14,0.10832637
2,14,0.06024238
2,15,0.08340796
2,15,0.08776272
2,16,0.084995
2,16,0.0917133
2,17,0.07541354
2,17,0.0865047
2,18,0.07907484
2,18,0.12416756
2,19,0.08754914
2,19,0.15792762
2,20,0.12872724
2,20,0.13177226
2,21,0.16953229
2,21,0.17730205
2,22,0.16044476
2,22,0.10162547
2,23,0.18156838
2,23,0.11121634
3,0,0.13970488
3,0,0.07743252
3,1,0.21746755
3,1,0.0968123
3,2,0.14034555
3,2,0.05095301
3,3,0.11962137
