day,hour,% difference
1,0,0.05965868
1,0,0.12166286
1,1,0.04060819
1,1,0.10627974
1,2,0.03993458
1,2,0.11250973
1,3,0.02855398
1,3,0.10954772
1,4,0.02825273
1,4,0.06987405
1,5,0.01154784
1,5,0.04664477
1,6,0.05145374
1,6,0.01958278
1,7,0.04388656
1,7,0.03360492
1,8,0.05849837
1,8,0.02420972
1,9,0.04680303
1,9,0.02691747
1,10,0.06937226
1,10,0.03830544
1,11,0.0533614
1,11,0.03782052
1,12,0.04079219
1,12,0.04088936
1,13,0.0370438
1,13,0.02814359
1,14,0.01264077
1,14,0.03601609
1,15,0.02802241
1,15,0.04109159
1,16,0.01680533
1,16,0.02850237
1,17,0.00417063
1,17,0.03952081
1,18,0.01130758
1,18,0.05620645
1,19,0.02921465
1,19,0.07661888
1,20,0.04269199
1,20,0.06737452
1,21,0.03551785
1,21,0.06885842
1,22,0.02466906
1,22,0.06285538
1,23,0.00900675
1,23,0.04119038
2,0,0.02705731
2,0,0.00541968
2,1,0.00435184
2,1,0.01533456
2,2,0.00815966
2,2,0.01024474
2,3,0.00809594
2,3,0.01962165
2,4,0.01404145
2,4,0.02199263
2,5,0.03296897
2,5,0.04374828
2,6,0.0379301
2,6,0.02258343
2,7,0.03179369
2,7,0.05320942
2,8,0.03011329
2,8,0.05621416
2,9,0.03189707
2,9,0.05566255
2,10,0.02054318
2,10,0.03442113
2,11,0.00996437
2,11,0.01755794
2,12,0.00369717
2,12,0.03649672
2,13,0.00105202
2,13,0.01999588
2,14,0.00552583
2,14,0.0190541
2,15,0.00440914
2,15,0.02625749
2,16,0.01146821
2,16,0.01720195
2,17,0.01328154
2,17,0.02341868
2,18,0.00755937
2,18,0.01514871
2,19,0.00841912
2,19,0.00378552
2,20,0.0196624
2,20,0.01562093
2,21,0.03515529
2,21,0.01876449
2,22,0.0169758
2,22,0.01795985
2,23,0.00886151
2,23,0.0468134
3,0,0.03433643
3,0,0.0612715
3,1,0.02119516
3,1,0.06912384
3,2,0.00623728
3,2,0.06938289
3,3,0.01167941
3,3,0.05540922
3,4,0.03017061
3,4,0.05634647
3,5,0.04799171
3,5,0.00128007
3,6,0.00464767
3,6,0.05549791
3,7,6.47E-05
3,7,0.05260602
3,8,0.02811302
3,8,0.05759303
3,9,0.04212994
3,9,0.0849153
3,10,0.0219411
3,10,0.12290753
3,11,0.02513698
3,11,0.10849332
3,12,0.03478199
3,12,0.10191743
3,13,0.03464292
3,13,0.09073414
3,14,0.04588736
3,14,0.0853723
3,15,0.07709705
3,15,0.10244947
3,16,0.09431402
3,16,0.10375052
3,17,0.10268499
3,17,0.11999669
3,18,0.12034964
3,18,0.11768949
3,19,0.11101493
3,19,0.12948785
3,20,0.07768774
3,20,0.08116022
3,21,0.02738711
3,21,0.06258824
3,22,0.02197206
3,22,0.07340279
3,23,0.01657742
3,23,0.04553176
4,0,0.04060782
4,0,0.01908163
4,1,0.04593841
4,1,0.02405234
4,2,0.06165202
4,2,0.00681164
4,3,0.06030325
4,3,0.01772006
4,4,0.0348847
4,4,0.00069053
4,5,0.02447842
4,5,0.02731341
4,6,0.03545115
4,6,0.0239237
4,7,0.04134633
4,7,0.04577633
4,8,0.05718334
4,8,0.03369975
4,9,0.04365455
4,9,0.0352927
4,10,0.06121181
4,10,0.06538566
4,11,0.04002602
4,11,0.05341382
4,12,0.03475265
4,12,0.01734408
4,13,0.02370311
4,13,0.00702475
4,14,0.0222054
4,14,0.01935606
4,15,0.01553631
4,15,0.03983414
4,16,0.03138265
4,16,0.04855037
4,17,0.01367027
4,17,0.03475241
4,18,0.01962621
4,18,0.04856649
4,19,0.00408176
4,19,0.0581244
4,20,0.03461327
4,20,0.07964105
4,21,0.06321332
4,21,0.06965635
4,22,0.07976956
4,22,0.06821619
4,23,0.08772574
4,23,0.07702954
5,0,0.07763021
5,0,0.06173798
5,1,0.05987867
5,1,0.06595849
5,2,0.06296976
5,2,0.0741084
5,3,0.06520451
5,3,0.07134705
5,4,0.0643951
5,4,0.08454089
5,5,0.06080492
5,5,0.05766885
5,6,0.04156852
5,6,0.05729068
5,7,0.04723825
5,7,0.05724121
5,8,0.0428634
5,8,0.06247431
5,9,0.06331085
5,9,0.06421898
5,10,0.08397952
5,10,0.0528724
5,11,0.09813492
5,11,0.04804562
5,12,0.09638229
5,12,0.0549079
5,13,0.09193914
5,13,0.06401127
5,14,0.08580524
5,14,0.06009152
5,15,0.06593203
5,15,0.04835721
5,16,0.06590032
5,16,0.04660154
5,17,0.06584083
5,17,0.03332239
5,18,0.0273894
5,18,0.03461959
5,19,0.00985429
5,19,0.03299074
5,20,0.01592884
5,20,0.02981985
5,21,0.01191206
5,21,0.03200718
5,22,0.01822197
5,22,0.02155096
5,23,0.01451758
5,23,0.01057727
6,0,0.00803037
6,0,0.03164227
6,1,0.0003106
6,1,0.02371866
6,2,0.02698085
6,2,0.05381362
6,3,0.05623159
6,3,0.05990166
6,4,0.0575524
6,4,0.08061338
6,5,0.06009153
6,5,0.08108344
6,6,0.07300793
6,6,0.0583938
6,7,0.07469704
6,7,0.05947149
6,8,0.05217531
6,8,0.0595913
6,9,0.07441732
6,9,0.05278324
6,10,0.0669539
6,10,0.03612068
6,11,0.06003355
6,11,0.01046619
6,12,0.060077
6,12,0.01338467
6,13,0.07291031
6,13,0.04121102
6,14,0.04095536
6,14,0.03287775
6,15,0.0063917
6,15,0.02744407
6,16,0.01721774
6,16,0.03517932
6,17,0.00682856
6,17,0.01704047
6,18,0.03523183
6,18,0.02132334
6,19,0.05933739
6,19,0.00089466
6,20,0.07500041
6,20,0.03196698
6,21,0.08147468
6,21,0.01629626
6,22,0.06335255
6,22,0.00621129
6,23,0.04935183
6,23,0.01507823
7,0,0.05371983
7,0,0.00688102
7,1,0.038452
7,1,0.0111435
7,2,0.02401218
7,2,0.0001814
7,3,0.03946939
7,3,0.00383636
7,4,0.02608746
7,4,0.01649426
7,5,0.00041497
7,5,0.03897644
7,6,0.03758105
7,6,0.00236888
7,7,0.03705584
7,7,0.02185594
7,8,0.01842436
7,8,0.02475906
7,9,0.02214556
7,9,0.02527074
7,10,0.01020544
7,10,0.02085166
7,11,0.00358083
7,11,0.00917181
7,12,0.02306528
7,12,0.00243881
7,13,0.02140552
7,13,0.00756955
7,14,0.01213565
7,14,0.01705591
7,15,0.00439458
7,15,0.03111787
7,16,0.02696332
7,16,0.04401508
7,17,0.02997646
7,17,0.05138639
7,18,0.01142736
7,18,0.05314939
7,19,0.03511492
7,19,0.00949295
7,20,0.0440118
7,20,0.04702668
7,21,0.02010045
7,21,0.00478998
7,22,0.00676642
7,22,0.01228621
7,23,0.01576023
7,23,0.02010046
8,0,0.01243142
8,0,0.04841227
8,1,0.02123693
8,1,0.03994294
8,2,0.01508655
8,2,0.01921614
8,3,0.01040272
8,3,0.00316701
8,4,0.05882651
8,4,0.05171601
8,5,0.08431149
8,5,0.08237304
8,6,0.09059656
8,6,0.05408654
8,7,0.07796445
8,7,0.0464491
8,8,0.09791431
8,8,0.03911414
8,9,0.10184056
8,9,0.04512891
8,10,0.10678805
8,10,0.03878547
8,11,0.12008342
8,11,0.03872526
8,12,0.10179339
8,12,0.04384665
8,13,0.10937295
8,13,0.06795825
8,14,0.09571593
8,14,0.07642405
8,15,0.0941592
8,15,0.08303905
8,16,0.10450906
8,16,0.08441824
8,17,0.07600294
8,17,0.06911674
8,18,0.05612539
8,18,0.04976188
8,19,0.05839604
8,19,0.05793031
8,20,0.05027692
8,20,0.0256171
8,21,0.0413488
8,21,0.03849646
8,22,0.04259997
8,22,0.05083431
8,23,0.03626314
8,23,0.04393908
9,0,0.05813016
9,0,0.04872534
9,1,0.07420441
9,1,0.05474581
9,2,0.06465097
9,2,0.05603594
9,3,0.03850627
9,3,0.01929996
9,4,0.0460851
9,4,0.01543406
9,5,0.04814775
9,5,0.01036748
9,6,0.00817982
9,6,0.06401906
9,7,0.01238428
9,7,0.05339241
9,8,0.03042372
9,8,0.03834467
9,9,0.02442405
9,9,0.03387341
9,10,0.02663998
9,10,0.03857864
9,11,0.02072543
9,11,0.04009478
9,12,0.02294029
9,12,0.0374306
9,13,0.01912992
9,13,0.04016299
9,14,0.04454575
9,14,0.02078666
9,15,0.05831536
9,15,0.00445447
9,16,0.06643196
9,16,0.00148237
9,17,0.05077262
9,17,0.0107892
9,18,0.0255038
9,18,0.03119088
9,19,0.03047858
9,19,0.01616834
9,20,0.02298564
9,20,0.03416721
9,21,0.02210299
9,21,0.02489689
9,22,0.01161601
9,22,0.01966762
9,23,0.01244808
9,23,0.02326146
10,0,0.03121091
10,0,0.01141665
10,1,0.02684067
10,1,0.0145309
10,2,0.01679606
10,2,0.01889319
10,3,0.0327127
10,3,0.01661244
10,4,0.0361352
10,4,0.01761768
10,5,0.05086235
10,5,0.00285737
10,6,0.02397088
10,6,0.01166672
10,7,0.02443767
10,7,0.00474582
10,8,0.05190264
10,8,0.00211061
10,9,0.02667004
10,9,0.00394774
10,10,0.02131729
10,10,0.0182606
10,11,0.01436097
10,11,0.01951472
10,12,0.00747531
10,12,0.00386993
10,13,0.00080077
10,13,0.00515493
10,14,0.01892197
10,14,0.00029942
10,15,0.03298814
10,15,0.01568051
10,16,0.04295246
10,16,0.01297246
10,17,0.02456552
10,17,0.00400237
10,18,0.00917078
10,18,0.01228629
10,19,0.02194959
10,19,0.01014259
10,20,0.00151983
10,20,0.06110467
10,21,0.03729721
10,21,0.10668253
10,22,0.10691958
10,22,0.15852735
10,23,0.09635564
10,23,0.13627104
11,0,0.0584262
11,0,0.11385596
11,1,0.02282795
11,1,0.10572371
11,2,0.0043103
11,2,0.07234242
11,3,0.01278998
11,3,0.06430349
11,4,0.02660246
11,4,0.05097354
11,5,0.04607727
11,5,0.03353346
11,6,0.02463417
11,6,0.01159116
11,7,0.01025024
11,7,0.00675139
11,8,0.00199379
11,8,0.01814285
11,9,0.04626736
11,9,0.0573182
11,10,0.0706391
11,10,0.0806677
11,11,0.07659461
11,11,0.08770416
11,12,0.06340913
11,12,0.04883602
11,13,0.05091678
11,13,0.03766613
11,14,0.02877758
11,14,0.04390192
11,15,0.00132095
11,15,0.01565673
11,16,0.01826746
11,16,0.00454785
11,17,0.02699326
11,17,0.01182272
11,18,0.01198195
11,18,0.00976629
11,19,0.00150553
11,19,0.01454643
11,20,0.01476243
11,20,0.00420386
11,21,0.01826816
11,21,0.00441798
11,22,0.00852641
11,22,0.0229981
11,23,0.03004931
11,23,0.01605165
12,0,0.06437327
12,0,0.04296023
12,1,0.08339008
12,1,0.04786944
12,2,0.08001738
12,2,0.05590964
12,3,0.09576775
12,3,0.05424554
12,4,0.10484908
12,4,0.06085021
12,5,0.12771921
12,5,0.07458568
12,6,0.08522873
12,6,0.05562377
12,7,0.09066209
12,7,0.04698785
12,8,0.09715661
12,8,0.05734407
12,9,0.10256273
12,9,0.06370197
12,10,0.09159878
12,10,0.04213866
12,11,0.09172091
12,11,0.04502069
12,12,0.0869087
12,12,0.04359407
12,13,0.08606093
12,13,0.05527101
12,14,0.07082321
12,14,0.05121756
12,15,0.06421476
12,15,0.05225199
12,16,0.06193937
12,16,0.05479261
12,17,0.0444902
12,17,0.04531457
12,18,0.01757727
12,18,0.01849105
12,19,0.01974451
12,19,0.00778257
12,20,0.02183782
12,20,0.00168513
12,21,0.0275186
12,21,0.02145131
12,22,0.05201959
12,22,0.04061275
12,23,0.03888868
12,23,0.05201375
13,0,0.02022016
13,0,0.05572098
13,1,0.01315341
13,1,0.03675952
13,2,0.03292914
13,2,0.0030286
