area-code,day,hour,% difference
0,1,0,0.17812722
0,1,0,0.23506669
0,1,1,0.14183039
0,1,1,0.22332137
0,1,2,0.18332728
0,1,2,0.1873696
0,1,3,0.29213946
0,1,3,0.23450628
0,1,4,0.22447584
0,1,4,0.19758232
0,1,5,0.28347906
0,1,5,0.22506059
0,1,6,0.2594575
0,1,6,0.013265
0,1,7,0.27681482
0,1,7,0.00448001
0,1,8,0.21848061
0,1,8,0.00056877
0,1,9,0.29525638
0,1,9,0.00193355
0,1,10,0.28318728
0,1,10,0.02836991
0,1,11,0.27413036
0,1,11,0.01044951
0,1,12,0.26937241
0,1,12,0.00594997
0,1,13,0.28591517
0,1,13,0.01045535
0,1,14,0.27445815
0,1,14,0.01549908
0,1,15,0.20616659
0,1,15,0.00193275
0,1,16,0.19795979
0,1,16,0.01196959
0,1,17,0.20830491
0,1,17,0.03391614
0,1,18,0.17917673
0,1,18,0.03574267
0,1,19,0.10252701
0,1,19,0.0379357
0,1,20,0.08466374
0,1,20,0.0455094
0,1,21,0.10413117
0,1,21,0.02513723
0,1,22,0.16305252
0,1,22,0.10357216
0,1,23,0.20021013
0,1,23,0.13255793
0,2,0,0.21479519
0,2,0,0.10120548
0,2,1,0.23339132
0,2,1,0.08788406
0,2,2,0.21143485
0,2,2,0.0613945
0,2,3,0.19601894
0,2,3,0.04152199
0,2,4,0.19340951
0,2,4,0.00794942
0,2,5,0.1836351
0,2,5,0.02276737
0,2,6,0.00668059
0,2,6,0.0564781
0,2,7,0.04751907
0,2,7,0.03099048
0,2,8,0.01436579
0,2,8,0.00089527
0,2,9,0.0152233
0,2,9,0.0145279
0,2,10,0.00882998
0,2,10,0.03082347
0,2,11,0.00924667
0,2,11,0.00474465
0,2,12,0.05060234
0,2,12,0.0156438
0,2,13,0.0914532
0,2,13,0.01715725
0,2,14,0.10832637
0,2,14,0.06024238
0,2,15,0.08340796
0,2,15,0.08776272
0,2,16,0.084995
0,2,16,0.0917133
0,2,17,0.07541354
0,2,17,0.0865047
0,2,18,0.07907484
0,2,18,0.12416756
0,2,19,0.08754914
0,2,19,0.15792762
0,2,20,0.12872724
0,2,20,0.13177226
0,2,21,0.16953229
0,2,21,0.17730205
0,2,22,0.16044476
0,2,22,0.10162547
0,2,23,0.18156838
0,2,23,0.11121634
0,3,0,0.13970488
0,3,0,0.07743252
0,3,1,0.21746755
0,3,1,0.0968123
0,3,2,0.14034555
0,3,2,0.05095301
0,3,3,0.11962137
0,3,3,0.04636497
0,3,4,0.09633844
0,3,4,0.15024602
0,3,5,0.08877599
0,3,5,0.07992964
0,3,6,0.0464114
0,3,6,0.08238343
0,3,7,7.07E-02
0,3,7,0.06098315
0,3,8,0.03673622
0,3,8,0.11253491
0,3,9,0.00913365
0,3,9,0.09266689
0,3,10,0.03783128
0,3,10,0.08127587
0,3,11,0.13995021
0,3,11,0.12802851
0,3,12,0.14884615
0,3,12,0.10686829
0,3,13,0.14842881
0,3,13,0.09036798
0,3,14,0.15062465
0,3,14,0.06148534
0,3,15,0.12643287
0,3,15,0.12174612
0,3,16,0.10810932
0,3,16,0.11374468
0,3,17,0.06415882
0,3,17,0.08207544
0,3,18,0.00132434
0,3,18,0.02976509
0,3,19,0.00433534
0,3,19,0.00322348
0,3,20,0.04623815
0,3,20,0.03288298
0,3,21,0.02338388
0,3,21,0.05233966
0,3,22,0.02308568
0,3,22,0.11943947
0,3,23,0.10421969
0,3,23,0.00125587
0,4,0,0.09703399
0,4,0,0.01101474
0,4,1,0.12626779
0,4,1,0.10420643
0,4,2,0.04315276
0,4,2,0.01348333
0,4,3,0.00517484
0,4,3,0.14001994
0,4,4,0.04386882
0,4,4,0.06686833
0,4,5,0.07735102
0,4,5,0.01553784
0,4,6,0.06967517
0,4,6,0.01355748
0,4,7,0.03623363
0,4,7,0.01263604
0,4,8,0.06546607
0,4,8,0.00251309
0,4,9,0.2014475
0,4,9,0.02520238
0,4,10,0.03086588
0,4,10,0.01325811
0,4,11,0.16016506
0,4,11,0.01905633
0,4,12,0.13561765
0,4,12,0.02817787
0,4,13,0.10317444
0,4,13,0.04260672
0,4,14,0.04004869
0,4,14,0.0078244
0,4,15,0.00799375
0,4,15,0.02076034
0,4,16,0.00752368
0,4,16,0.00915233
0,4,17,0.05660285
0,4,17,0.09882521
0,4,18,0.08762775
0,4,18,0.12199537
0,4,19,0.09942588
0,4,19,0.07500295
0,4,20,0.17075319
0,4,20,0.07000776
0,4,21,0.10597534
0,4,21,0.07430458
0,4,22,0.07371554
0,4,22,0.15118133
0,4,23,0.0327721
0,4,23,0.07458338
0,5,0,0.0255939
0,5,0,0.09104161
0,5,1,0.03221646
0,5,1,0.12723686
0,5,2,0.1474867
0,5,2,0.07603443
0,5,3,0.23831612
0,5,3,0.12224684
0,5,4,0.10953342
0,5,4,0.10022329
0,5,5,0.06127372
0,5,5,0.07028586
0,5,6,0.09339156
0,5,6,0.02875805
0,5,7,0.09703325
0,5,7,0.01962986
0,5,8,0.12679005
0,5,8,0.06390808
0,5,9,0.15450903
0,5,9,0.06566738
0,5,10,0.10057311
0,5,10,0.05949197
0,5,11,0.03885392
0,5,11,0.00515094
0,5,12,0.0832219
0,5,12,0.01106672
0,5,13,0.14108736
0,5,13,0.01528171
0,5,14,0.08284654
0,5,14,0.01286942
0,5,15,0.20809497
0,5,15,0.0616642
0,5,16,0.18518441
0,5,16,0.09471881
0,5,17,0.19450644
0,5,17,0.09767495
0,5,18,0.25364098
0,5,18,0.09625008
0,5,19,0.33271508
0,5,19,0.11844508
0,5,20,0.39736069
0,5,20,0.18329157
0,5,21,0.40948548
0,5,21,0.22771818
0,5,22,0.37893199
0,5,22,0.3677841
0,5,23,0.27331584
0,5,23,0.20371165
0,6,0,0.26995213
0,6,0,0.2033417
0,6,1,0.26481888
0,6,1,0.19600532
0,6,2,0.1960365
0,6,2,0.15561825
0,6,3,0.2079421
0,6,3,0.19882741
0,6,4,0.33416935
0,6,4,0.08248152
0,6,5,0.37016769
0,6,5,0.135469
0,6,6,0.1206453
0,6,6,0.06838508
0,6,7,0.23469515
0,6,7,0.11760309
0,6,8,0.13675769
0,6,8,0.10388943
0,6,9,0.18528542
0,6,9,0.06537795
0,6,10,0.20407447
0,6,10,0.05148414
0,6,11,0.19180782
0,6,11,0.04323804
0,6,12,0.13849171
0,6,12,0.00783796
0,6,13,0.11933885
0,6,13,0.00304946
0,6,14,0.15256795
0,6,14,0.01270629
0,6,15,0.15049635
0,6,15,0.00525779
0,6,16,0.19178655
0,6,16,0.02087577
0,6,17,0.30792685
0,6,17,0.0219156
0,6,18,0.30242003
0,6,18,0.01142853
0,6,19,0.36506776
0,6,19,0.04435388
0,6,20,0.38184153
0,6,20,0.06416276
0,6,21,0.42703978
0,6,21,0.05171971
0,6,22,0.42614865
