day,hour,% difference
1,0,0.063723302
1,0,0.090038804
1,1,0.036728875
1,1,0.06293435
1,2,0.067813897
1,2,0.05203385
1,3,0.13722902
1,3,0.077401825
1,4,0.110699222
1,4,0.102446999
1,5,0.095287849
1,5,0.099833469
1,6,0.089119875
1,6,0.001790269
1,7,0.088158317
1,7,0.029172364
1,8,0.096988985
1,8,0.022576829
1,9,0.120559137
1,9,0.034919833
1,10,0.096473005
1,10,0.09747142
1,11,0.093598923
1,11,0.101386283
1,12,0.101802112
1,12,0.080825059
1,13,0.105175889
1,13,0.062625606
1,14,0.120768965
1,14,0.07034581
1,15,0.132284788
1,15,0.056086818
1,16,0.137150199
1,16,0.03893609
1,17,0.189293617
1,17,0.027044779
1,18,0.140092648
1,18,0.003084219
1,19,0.110985121
1,19,0.007043904
1,20,0.07720914
1,20,0.00990083
1,21,0.062376341
1,21,0.034669282
1,22,0.081672074
1,22,0.041955363
1,23,0.139044663
1,23,0.01223502
2,0,0.155482315
2,0,0.016648443
2,1,0.168256611
2,1,0.023078914
2,2,0.162624785
2,2,0.013364979
2,3,0.169402908
2,3,0.047716438
2,4,0.176554202
2,4,0.039764733
2,5,0.175785641
2,5,0.016358791
2,6,0.001126085
2,6,0.039955615
2,7,0.013479509
2,7,0.000241582
2,8,0.012916304
2,8,0.002788534
2,9,0.008266472
2,9,0.005955998
2,10,0.000396329
2,10,0.030818703
2,11,0.005573487
2,11,0.05288126
2,12,0.044173037
2,12,0.003825215
2,13,0.049199578
2,13,0.039764836
2,14,0.077974237
2,14,0.042598336
2,15,0.065568734
2,15,0.048089667
2,16,0.091854152
2,16,0.102809806
2,17,0.089590971
2,17,0.060556382
2,18,0.09029571
2,18,0.057158216
2,19,0.124728686
2,19,0.09033958
2,20,0.127593795
2,20,0.073807583
2,21,0.115510223
2,21,0.065634033
2,22,0.126007336
2,22,0.02035784
2,23,0.149321999
2,23,0.056938433
3,0,0.142365085
3,0,0.02857475
3,1,0.127274519
3,1,0.054803683
3,2,0.105548086
3,2,0.021967712
3,3,0.077301573
3,3,0.035494933
3,4,0.065879241
3,4,0.118826016
3,5,0.095845386
3,5,0.074083892
3,6,0.052697695
3,6,0.101157955
3,7,0.014325141
3,7,0.086900582
3,8,0.110881233
3,8,0.065239723
3,9,0.143058268
3,9,0.079998599
3,10,0.095841737
3,10,0.072683925
3,11,0.088248769
3,11,0.079571829
3,12,0.028859133
3,12,0.10133846
3,13,0.010232971
3,13,0.095798689
3,14,0.079674978
3,14,0.08077929
3,15,0.124094362
3,15,0.053177912
3,16,0.108129296
3,16,0.031846799
3,17,0.104124245
3,17,0.026414871
3,18,0.068012518
3,18,0.027617073
3,19,0.056389299
3,19,0.019819571
3,20,0.007459404
3,20,0.021626557
3,21,0.011709824
3,21,0.025077375
3,22,0.003743811
3,22,0.083540746
3,23,0.071513107
3,23,0.004922889
4,0,0.069894559
4,0,0.011818229
4,1,0.069985991
4,1,0.013914337
4,2,0.057270447
4,2,0.015567927
4,3,0.060010949
4,3,0.05759547
