site_ids,AC_capacity_MW,latitude,longitude,elevation,timezone,proposed,Zone,ISO
Adamstown Solar,250,33.25,-97.26,220.16,-6,Proposed,North,ERCOT
Agate Solar,60,32.45,-97.18,217.84,-6,Proposed,North Central,ERCOT
Angelina Solar,150,31.37,-94.86,85,-6,Proposed,East,ERCOT
Angelo Solar,195,31.41,-100.58,623.72,-6,Proposed,West,ERCOT
Angus Solar,113,31.69,-97.26,140.72,-6,Proposed,North Central,ERCOT
Anson Solar,200,32.85,-100.1,524.75,-6,Proposed,West,ERCOT
"Anson Solar Center, Phase II",200,32.85,-100.3,601.25,-6,Proposed,West,ERCOT
"Anson Solar Center, Phase III",200,32.93,-100.18,545.3,-6,Proposed,West,ERCOT
Aragorn Solar,186.3,31.73,-104.66,1436.3,-6,Proposed,Far West,ERCOT
Arroyo Del Bisonte Solar,300,29.49,-95.62,18.52,-6,Proposed,Coast,ERCOT
Arroyo Solar,180,26.29,-97.62,7.24,-6,Proposed,South,ERCOT
Atascosa I Solar,126.6,29.05,-98.94,183.2,-6,Proposed,South,ERCOT
Bacon Switch Solar,180,33.89,-98.42,303.44,-6,Proposed,North,ERCOT
Basalt Solar,20,29.21,-99.78,259.12,-6,Proposed,West,ERCOT
Bestla Solar,180,31.93,-103.02,910.85,-6,Proposed,Far West,ERCOT
Blackwater Draw Solar,151.9,32.73,-101.82,899.75,-6,Proposed,Far West,ERCOT
Blue Bell Solar II,101.25,31.89,-100.78,771.32,-6,Proposed,West,ERCOT
Blue Jay Solar ,210,30.65,-95.98,101.84,-6,Proposed,East,ERCOT
BlueBell Solar,30,31.89,-100.66,651.36,-6,Proposed,West,ERCOT
Bluebonnet Solar,60.7,30.41,-104.02,1506.32,-6,Proposed,Far West,ERCOT
Bravepost Solar,200,31.53,-100.22,528.45,-6,Proposed,West,ERCOT
Brightside Solar,50,28.41,-97.74,71.2,-6,Proposed,South,ERCOT
Brushy Creek Solar,125,31.53,-100.34,561.65,-6,Proposed,West,ERCOT
Castro Solar,212.95,34.49,-102.02,1133.04,-6,Proposed,North,ERCOT
Charbray Solar,200,32.33,-100.82,649.3,-6,Proposed,West,ERCOT
Chatee Solar,57,31.13,-102.54,732.5,-6,Proposed,Far West,ERCOT
Citrine Solar,45,34.01,-100.38,597.72,-6,Proposed,North,ERCOT
Concho Valley Solar,150,31.41,-100.5,590.25,-6,Proposed,West,ERCOT
Coniglio Solar,135,33.37,-96.06,202.72,-6,Proposed,North,ERCOT
Corazon Solar,200,27.49,-98.74,212.72,-6,Proposed,South,ERCOT
Cottonwood Bayou,150,29.29,-95.38,9.32,-6,Proposed,Coast,ERCOT
County Line Solar,250,30.33,-104.02,1453.05,-6,Proposed,Far West,ERCOT
Crowded Star Solar,400,32.85,-100.18,534.84,-6,Proposed,West,ERCOT
Cutlass Solar,300,29.49,-95.54,17,-6,Proposed,Coast,ERCOT
Danciger Solar,200,29.17,-95.9,18.15,-6,Proposed,Coast,ERCOT
Danish Fields II,200,29.01,-96.34,19.88,-6,Proposed,Coast,ERCOT
Danish Fields III,200,29.13,-96.22,26.45,-6,Proposed,Coast,ERCOT
Danish Fields Solar,200,29.01,-96.22,18.08,-6,Proposed,Coast,ERCOT
Dawn Solar,515.66,34.89,-102.5,1218.1,-6,Proposed,North,ERCOT
Delilah Solar 1,700,33.09,-95.06,109.24,-6,Proposed,North,ERCOT
Delilah Solar 2,500,33.21,-96.42,163.92,-6,Proposed,North,ERCOT
Delilah Solar 3,400,33.21,-96.34,184.08,-6,Proposed,North,ERCOT
Desert Rose,200,32.25,-102.58,976.48,-6,Proposed,Far West,ERCOT
Dexter Solar,330.12,31.41,-100.34,560.16,-6,Proposed,West,ERCOT
Diamondback Solar,201.6,26.25,-98.34,44,-6,Proposed,South,ERCOT
Double R Solar,280,32.69,-96.54,120.96,-6,Proposed,North Central,ERCOT
Dove Run,101.25,27.25,-98.14,39.56,-6,Proposed,South,ERCOT
EK Tipton Solar,100,31.37,-103.62,832.6,-6,Proposed,Far West,ERCOT
El Zorro Solar,253.3,27.49,-98.82,237.68,-6,Proposed,South,ERCOT
Elara Solar,178,28.85,-99.18,158.72,-6,Proposed,South,ERCOT
Elrond,313.2,33.09,-99.58,439.52,-6,Proposed,North,ERCOT
Emerald Grove Solar,108,31.09,-102.58,748.04,-6,Proposed,Far West,ERCOT
Eunice Solar,403.8,32.45,-102.58,968.56,-6,Proposed,Far West,ERCOT
Fighting Jays Solar,356.55,29.49,-95.74,24.36,-6,Proposed,Coast,ERCOT
Flag City,150,28.81,-96.66,10.92,-6,Proposed,Coast,ERCOT
Flatland Solar,147,32.33,-100.9,631.6875,-6,Proposed,West,ERCOT
Fluorite Solar,25,29.25,-99.66,280.04,-6,Proposed,West,ERCOT
Fort Bend Solar,240,29.53,-96.06,35.45,-6,Proposed,Coast,ERCOT
Fowler Ranch,150,31.21,-102.3,769.8,-6,Proposed,Far West,ERCOT
French Goldston Solar,120,33.13,-98.62,332.15,-6,Proposed,North Central,ERCOT
Fronton Solar,200,26.49,-98.9,100.6,-6,Proposed,South,ERCOT
Frye Solar,500,34.41,-102.02,1124.48,-6,Proposed,North,ERCOT
Galloway Solar,360,31.53,-100.58,605.65,-6,Proposed,West,ERCOT
Garnet Solar,20,30.73,-97.46,185.3,-6,Proposed,South Central,ERCOT
Gold Creek Solar,140,32.73,-101.94,905.9,-6,Proposed,Far West,ERCOT
Goodranch Solar,200,32.65,-101.34,699.4,-6,Proposed,Far West,ERCOT
