Facility.Name,lati,longi,Capacity,NumberOfUnits,Group,Region
Amazon Wind Farm Texas,32.8825,-100.936,330,110,Existing,West
Anacacho Wind Farm,29.1922,-100.192,129,55,Existing,West
Baffin,27.1436,-97.6064,264,101,Existing,South
Barton Chapel Wind Farm,33.0733,-98.3008,157,60,Existing,North Central
Bearkat I,31.7931,-101.546,257,57,Existing,Far West
Bethel,34.5181,-102.416,360,120,Existing,North
Big Spring Wind Farm,32.1467,-101.398,45,46,Existing,Far West
Blue Summit,34.3047,-99.3769,177,80,Existing,North
Bobcat Bluff,33.5036,-98.5786,196,100,Existing,North
Brazos Wind Ranch,32.9482,-101.2115,289,221,Existing,Far West
Briscoe,34.4158,-101.302,196,81,Existing,North
Broadview Energy JN LLC,34.8014,-102.996,108,36,Existing,North
Bruenning's Breeze,26.5211,-97.6733,298,76,Existing,South
Buckthorn,32.3742,-98.3817,117,26,Existing,North Central
Buffalo Gap Wind Farm,32.3106,-100.149,683,296,Existing,West
Bull Creek Wind Farm,32.9331,-101.584,235,180,Existing,Far West
Callahan Divide Wind Energy Center,32.3106,-100.149,149,76,Existing,West
Cameron,26.1744,-97.5222,215,55,Existing,South
Camp Springs II Wind Farm,32.7398,-100.7356667,327,167,Existing,West
Capricorn Ridge,31.84898,-100.9368,920,435,Existing,Far West
Cedro Hill,27.5633,-98.9172,196,100,Existing,South
Champion (Roscoe II) Wind Farm,32.4578,-100.581,165,55,Existing,West
Chapman Ranch,27.6189,-97.5714,325,81,Existing,South
Cirrus 1,33.0272,-101.696,80,17,Existing,North
Cotton Plains Wind,33.9508,-101.235,66,21,Existing,North
Delaware Mountain Wind Farm,31.6708,-104.739,37,38,Existing,Far West
Desert Sky Wind Farm,30.9267,-102.1,210,107,Existing,Far West
Elbow Creek Wind Farm,32.1336,-101.415,159,53,Existing,Far West
Electra Wind,34.1244,-99.0733,300,100,Existing,North
Exelon Wind 11,35.8081,-101.99,13,8,Existing,North
Falvez Astra,34.7508,-102.01,213,68,Existing,North
Flat Top,31.6464,-98.5931,261,100,Existing,North Central
Fluvanna I,32.8997,-101.133,203,74,Existing,Far West
Forest Creek Wind Farm,31.9372,-101.312,162,54,Existing,Far West
Frisco,36.4978,-101.488,26,10,Existing,North
Goat Mountain Phase Wind Farm,31.9093,-100.8465,195,109,Existing,West
Golden Spread Panhandle Wind Ranch,35.2278,-102.232,102,34,Existing,North
Goldthwaite,31.3364,-98.455,184,83,Existing,North Central
Grandview,35.2629,-101.1965,538,230,Existing,North
Great Plains Wind Farm,36.2858,-101.358,149,76,Existing,North
Green Pastures,33.64795,-99.44875,392,100,Existing,North
Gulf Wind Farm,27.0814,-97.5617,370,118,Existing,South
Gunsight,32.4969,-101.373,157,67,Existing,Far West
Hackberry Wind Project,32.7656,-99.4133,216,72,Existing,North Central
Hereford 1,34.765,-102.348,131,50,Existing,North
Hidalgo,26.49735,-98.395,326,125,Existing,South
Horse Creek Wind,33.3097,-99.5567,300,100,Existing,North
Horse Hollow,32.238075,-100.1255,960,421,Existing,West
Inadale (Roscoe IV) Wind Farm,32.3467,-100.379,257,197,Existing,West
Indian Mesa Wind Farm I,30.9203,-102.116,108,125,Existing,Far West
Javelina,27.4264,-98.94805,263,102,Existing,South
JD Wind Farm,36.14255455,-101.7363636,235,118,Existing,North
Jumbo Road,34.7225,-102.199,391,162,Existing,North
Keechi,33.19,-98.1778,144,55,Existing,North Central
King Mountain,31.2922,-102.202,373,219,Existing,Far West
Langford Wind Farm,31.1572,-100.609,196,100,Existing,Far West
Little Pringle,35.8033,-101.433,26,10,Existing,North
Llano Estacado Wind Ranch at White Deer,35.4614,-101.238,104,80,Existing,North
