Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN
12/1/2010,1:00,N,9.01,6.88,6.88,3.89
12/1/2010,2:00,N,5.5,5,5,3.19
12/1/2010,3:00,N,3,5,5,3.15
12/1/2010,4:00,N,3.6,4.5,4.5,3.13
12/1/2010,5:00,N,4,4.5,4.5,3.09
12/1/2010,6:00,N,5.75,5.93,5.3,3.02
12/1/2010,7:00,N,3,23.35,22.35,2.82
12/1/2010,8:00,N,3.89,17.7,17.7,2.87
12/1/2010,9:00,N,3,13.56,13.56,2.77
12/1/2010,10:00,N,3.82,7.5,7.5,2.62
12/1/2010,11:00,N,3,7.5,7.5,5.41
12/1/2010,12:00,N,5,5,5,5
12/1/2010,13:00,N,4.5,5.31,5.31,5.31
12/1/2010,14:00,N,5,6,6,5.31
12/1/2010,15:00,N,4,6,6,5.31
12/1/2010,16:00,N,4,6,6,5.31
12/1/2010,17:00,N,4.25,7,7,5.31
12/1/2010,18:00,N,5,10,10,5.41
12/1/2010,19:00,N,5.5,14.22,14.01,5.87
12/1/2010,20:00,N,6.88,12,12,5.41
12/1/2010,21:00,N,4.45,10,10,5.96
12/1/2010,22:00,N,3.69,5.31,5.31,5.31
12/1/2010,23:00,N,7.11,10,10,2.8
12/1/2010,24:00:00,N,5.5,5.59,5.59,2.93
12/2/2010,1:00,N,7.75,15,15,2.93
12/2/2010,2:00,N,7,9.5,9.5,2.98
12/2/2010,3:00,N,3.72,5.5,5.5,3.06
12/2/2010,4:00,N,3.94,5,5,3
12/2/2010,5:00,N,4,8.21,8.21,2.97
12/2/2010,6:00,N,7,10.86,9.86,3.01
12/2/2010,7:00,N,4.2,31.07,26.99,2.47
12/2/2010,8:00,N,5.06,24.44,23.44,5.41
12/2/2010,9:00,N,4.28,19.23,19.23,6.11
12/2/2010,10:00,N,4.85,15,15,5.83
12/2/2010,11:00,N,4,11.49,11.49,9.12
12/2/2010,12:00,N,4,10.9,7.9,7.9
12/2/2010,13:00,N,4,10.49,9.49,7.49
12/2/2010,14:00,N,4.6,8.41,7,5.41
12/2/2010,15:00,N,2.5,5.41,5.41,5.41
12/2/2010,16:00,N,3.76,7.06,6.61,5.31
