Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN
01/01/2014,01:00,N,5.65,9.72,11.72,1
01/01/2014,02:00,N,5.55,8.22,8.73,1
01/01/2014,03:00,N,5.55,7.57,8.11,1
01/01/2014,04:00,N,8.11,4.81,7.25,1
01/01/2014,05:00,N,8.11,10,10,1
01/01/2014,06:00,N,8.8,10,9,1
01/01/2014,07:00,N,8,21.81,20.81,1
01/01/2014,08:00,N,4.44,10.22,14.22,1
01/01/2014,09:00,N,3,12.16,16.16,1
01/01/2014,10:00,N,4,6.74,10.17,1
01/01/2014,11:00,N,5.55,4,5.68,1
01/01/2014,12:00,N,8.59,3,4,1
01/01/2014,13:00,N,10,3,3.37,1
01/01/2014,14:00,N,8.73,4,4,1
01/01/2014,15:00,N,10,1,4,1
01/01/2014,16:00,N,8.11,1,3.45,1
01/01/2014,17:00,N,8.73,3,3.58,1
01/01/2014,18:00,N,5.65,14.95,14.95,1
01/01/2014,19:00,N,3.37,11.42,15.42,1
01/01/2014,20:00,N,4.25,3.23,9.15,1
01/01/2014,21:00,N,8.11,5.48,12.86,1
01/01/2014,22:00,N,8.11,4,11.12,1
01/01/2014,23:00,N,8.72,13.83,12.83,1
01/01/2014,24:00,N,10.72,11.82,10.82,1
01/02/2014,01:00,N,4,4,5.13,1
01/02/2014,02:00,N,4.05,4,4,1
01/02/2014,03:00,N,4.94,4,4,1
01/02/2014,04:00,N,5.55,3,4,1
01/02/2014,05:00,N,6,4,4,1
01/02/2014,06:00,N,6,4,4.16,1
01/02/2014,07:00,N,5.65,16.45,16.45,1
01/02/2014,08:00,N,3,11.95,18,1
01/02/2014,09:00,N,2.3,9.49,11.49,1
01/02/2014,10:00,N,2.66,4,7,1
01/02/2014,11:00,N,4.4,3,3.5,1
01/02/2014,12:00,N,5.55,1,3.5,1
01/02/2014,13:00,N,5.55,1,3.5,1
01/02/2014,14:00,N,5.55,3,3.5,1
01/02/2014,15:00,N,5.97,1,3.5,1
01/02/2014,16:00,N,4.86,1,3.5,1
01/02/2014,17:00,N,5.66,1,3.5,1
01/02/2014,18:00,N,3.5,6.91,6.91,1
01/02/2014,19:00,N,2.48,15.3,16.57,1
01/02/2014,20:00,N,2,6.46,14.52,1
01/02/2014,21:00,N,2.11,4.92,12.48,1
01/02/2014,22:00,N,3,3,7,1
01/02/2014,23:00,N,9.49,4.09,6.09,1
01/02/2014,24:00,N,8.11,3,4.78,1
01/03/2014,01:00,N,5.4,8,8.34,1
01/03/2014,02:00,N,5.5,6,6.52,1
01/03/2014,03:00,N,3,6,6.34,1
01/03/2014,04:00,N,3.94,3.75,6.76,1
01/03/2014,05:00,N,4,8.09,8.46,1
01/03/2014,06:00,N,3,11.56,11.56,1
01/03/2014,07:00,N,3.5,48.11,48.11,1.15
01/03/2014,08:00,N,2.11,26.97,26.97,1
01/03/2014,09:00,N,2,16.31,16.31,1
01/03/2014,10:00,N,3,6.39,6.39,1
01/03/2014,11:00,N,3.5,3.76,3.76,1
01/03/2014,12:00,N,5.75,3,3.37,1
01/03/2014,13:00,N,5.89,2.7,3.37,1
01/03/2014,14:00,N,7,4.15,4,1
01/03/2014,15:00,N,8.13,1,3.37,1
01/03/2014,16:00,N,7,1,3.37,1
01/03/2014,17:00,N,7,2.55,3.37,1
01/03/2014,18:00,N,8.26,12.52,12.52,1
01/03/2014,19:00,N,3,18.01,18.01,1
01/03/2014,20:00,N,3.66,6.37,11.05,1
01/03/2014,21:00,N,3.71,6.09,10.42,1
01/03/2014,22:00,N,8,3,5.1,1
01/03/2014,23:00,N,6.85,12.95,13.02,1
01/03/2014,24:00,N,10.02,3.6,9.89,1
01/04/2014,01:00,N,4,6,5.34,1
01/04/2014,02:00,N,5.5,8.16,7.16,1
01/04/2014,03:00,N,5.55,6.99,5.99,1
01/04/2014,04:00,N,7.65,5.67,5.05,1
01/04/2014,05:00,N,7.56,7.9,7.51,1
01/04/2014,06:00,N,9.86,8.66,7.66,1
01/04/2014,07:00,N,5.65,18.79,12.79,1
01/04/2014,08:00,N,3.69,3,7.56,1
01/04/2014,09:00,N,2.11,7.57,8,1
01/04/2014,10:00,N,2,7.97,8.48,1
01/04/2014,11:00,N,3,4.67,5.02,1
01/04/2014,12:00,N,7.85,1,4,1
01/04/2014,13:00,N,8.11,1,3.37,1
01/04/2014,14:00,N,7.84,4.62,4.52,1
01/04/2014,15:00,N,9.23,1,3.37,1
01/04/2014,16:00,N,8.11,1,3.37,1
01/04/2014,17:00,N,9.51,2.6,3.37,1
01/04/2014,18:00,N,6.96,14.2,14.2,1.5
01/04/2014,19:00,N,3,17.26,17.26,1.51
01/04/2014,20:00,N,3.49,4.7,13.5,1.5
01/04/2014,21:00,N,5.65,3,9.57,1
01/04/2014,22:00,N,8.11,6.25,12.39,1
01/04/2014,23:00,N,19,9.08,9.04,1
01/04/2014,24:00,N,12,4.15,4,1
01/05/2014,01:00,N,9.25,6.17,7.01,1
01/05/2014,02:00,N,8.11,5.76,7.03,1
01/05/2014,03:00,N,9.25,5.05,7.03,1
01/05/2014,04:00,N,9.88,3.57,7.03,1
01/05/2014,05:00,N,9.27,6,7.02,1
01/05/2014,06:00,N,11.94,6,9.06,1
01/05/2014,07:00,N,14.89,16.4,16.4,1
01/05/2014,08:00,N,5.65,3,14.36,1
01/05/2014,09:00,N,3,6.81,17.8,1
01/05/2014,10:00,N,5.09,8.1,15.79,1
01/05/2014,11:00,N,3.03,8.06,15.75,1
01/05/2014,12:00,N,7.1,2.88,7.43,1
01/05/2014,13:00,N,8.11,1.8,4,1
01/05/2014,14:00,N,7.07,4.5,4.4,1
01/05/2014,15:00,N,8.11,1,3.37,1
01/05/2014,16:00,N,8,1,3.37,1
01/05/2014,17:00,N,8.11,1,3.34,1
01/05/2014,18:00,N,6.5,7.94,7.94,1
01/05/2014,19:00,N,2.33,16.77,16.77,1
01/05/2014,20:00,N,2.11,10.34,14.5,1
01/05/2014,21:00,N,2.59,7.14,12.16,1
01/05/2014,22:00,N,3.6,3.43,9.78,1
01/05/2014,23:00,N,5.55,4.45,9.54,1
01/05/2014,24:00,N,5.88,2.7,5.61,1
01/06/2014,01:00,N,6.62,1.34,6.67,1
01/06/2014,02:00,N,5.65,1,4.13,1
01/06/2014,03:00,N,6.12,1.83,4.36,1
01/06/2014,04:00,N,5.51,3.06,4.41,1
01/06/2014,05:00,N,3.4,3.25,8.53,1
01/06/2014,06:00,N,3.25,11.51,15.57,1
01/06/2014,07:00,N,3.44,60.26,60.26,21.13
01/06/2014,08:00,N,2,36.34,63.45,12.3
01/06/2014,09:00,N,1.84,18.47,33.19,6.21
01/06/2014,10:00,N,2,14.6,23.03,1
01/06/2014,11:00,N,2.11,12.87,19.58,1
01/06/2014,12:00,N,2.11,7.07,14.5,1
01/06/2014,13:00,N,2.11,3.77,9.65,1
01/06/2014,14:00,N,3.77,3.37,3.37,1
01/06/2014,15:00,N,5.73,1,3.25,1
01/06/2014,16:00,N,5.65,1,3.25,1
01/06/2014,17:00,N,3.25,3.01,3.51,1
01/06/2014,18:00,N,3.25,17.52,17.52,1
01/06/2014,19:00,N,2,30.51,34.89,1
01/06/2014,20:00,N,2,20.09,32.5,1
01/06/2014,21:00,N,1.9,14.84,23.55,1
01/06/2014,22:00,N,2.11,10.03,20,1
01/06/2014,23:00,N,3.25,7.19,11.53,1
01/06/2014,24:00,N,3.25,3.82,7.86,1
01/07/2014,01:00,N,5.46,1,7.29,1
01/07/2014,02:00,N,4,1,7,1
