Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/01/2012,01:00,N,HB_BUSAVG,18.19
01/01/2012,01:00,N,HB_HOUSTON,18.44
01/01/2012,01:00,N,HB_HUBAVG,17.79
01/01/2012,01:00,N,HB_NORTH,18.49
01/01/2012,01:00,N,HB_SOUTH,18.4
01/01/2012,01:00,N,HB_WEST,15.82
01/01/2012,01:00,N,LZ_AEN,18.42
01/01/2012,01:00,N,LZ_CPS,18.39
01/01/2012,01:00,N,LZ_HOUSTON,18.44
01/01/2012,01:00,N,LZ_LCRA,18.4
01/01/2012,01:00,N,LZ_NORTH,18.47
01/01/2012,01:00,N,LZ_RAYBN,18.48
01/01/2012,01:00,N,LZ_SOUTH,18.37
01/01/2012,01:00,N,LZ_WEST,16.7
01/01/2012,02:00,N,HB_BUSAVG,16.99
01/01/2012,02:00,N,HB_HOUSTON,17.16
01/01/2012,02:00,N,HB_HUBAVG,16.71
01/01/2012,02:00,N,HB_NORTH,17.2
01/01/2012,02:00,N,HB_SOUTH,17.14
01/01/2012,02:00,N,HB_WEST,15.35
01/01/2012,02:00,N,LZ_AEN,17.15
01/01/2012,02:00,N,LZ_CPS,17.13
01/01/2012,02:00,N,LZ_HOUSTON,17.16
01/01/2012,02:00,N,LZ_LCRA,17.14
01/01/2012,02:00,N,LZ_NORTH,17.19
01/01/2012,02:00,N,LZ_RAYBN,17.19
01/01/2012,02:00,N,LZ_SOUTH,17.11
01/01/2012,02:00,N,LZ_WEST,16.51
01/01/2012,03:00,N,HB_BUSAVG,18.13
01/01/2012,03:00,N,HB_HOUSTON,18.2
01/01/2012,03:00,N,HB_HUBAVG,18.01
01/01/2012,03:00,N,HB_NORTH,18.21
01/01/2012,03:00,N,HB_SOUTH,18.19
01/01/2012,03:00,N,HB_WEST,17.45
01/01/2012,03:00,N,LZ_AEN,18.19
01/01/2012,03:00,N,LZ_CPS,18.19
01/01/2012,03:00,N,LZ_HOUSTON,18.2
01/01/2012,03:00,N,LZ_LCRA,18.19
01/01/2012,03:00,N,LZ_NORTH,18.21
01/01/2012,03:00,N,LZ_RAYBN,18.21
01/01/2012,03:00,N,LZ_SOUTH,18.18
01/01/2012,03:00,N,LZ_WEST,18.55
01/01/2012,04:00,N,HB_BUSAVG,18.48
01/01/2012,04:00,N,HB_HOUSTON,18.52
01/01/2012,04:00,N,HB_HUBAVG,18.41
01/01/2012,04:00,N,HB_NORTH,18.53
01/01/2012,04:00,N,HB_SOUTH,18.51
01/01/2012,04:00,N,HB_WEST,18.07
01/01/2012,04:00,N,LZ_AEN,18.52
01/01/2012,04:00,N,LZ_CPS,18.51
01/01/2012,04:00,N,LZ_HOUSTON,18.52
01/01/2012,04:00,N,LZ_LCRA,18.52
01/01/2012,04:00,N,LZ_NORTH,18.52
01/01/2012,04:00,N,LZ_RAYBN,18.53
01/01/2012,04:00,N,LZ_SOUTH,18.51
01/01/2012,04:00,N,LZ_WEST,19.54
01/01/2012,05:00,N,HB_BUSAVG,18.84
01/01/2012,05:00,N,HB_HOUSTON,18.85
01/01/2012,05:00,N,HB_HUBAVG,18.83
01/01/2012,05:00,N,HB_NORTH,18.85
01/01/2012,05:00,N,HB_SOUTH,18.85
01/01/2012,05:00,N,HB_WEST,18.75
01/01/2012,05:00,N,LZ_AEN,18.85
01/01/2012,05:00,N,LZ_CPS,18.85
01/01/2012,05:00,N,LZ_HOUSTON,18.85
01/01/2012,05:00,N,LZ_LCRA,18.85
01/01/2012,05:00,N,LZ_NORTH,18.85
01/01/2012,05:00,N,LZ_RAYBN,18.85
01/01/2012,05:00,N,LZ_SOUTH,18.85
01/01/2012,05:00,N,LZ_WEST,20.76
01/01/2012,06:00,N,HB_BUSAVG,19.83
01/01/2012,06:00,N,HB_HOUSTON,19.84
01/01/2012,06:00,N,HB_HUBAVG,19.81
01/01/2012,06:00,N,HB_NORTH,19.84
01/01/2012,06:00,N,HB_SOUTH,19.84
01/01/2012,06:00,N,HB_WEST,19.72
01/01/2012,06:00,N,LZ_AEN,19.85
01/01/2012,06:00,N,LZ_CPS,19.85
01/01/2012,06:00,N,LZ_HOUSTON,19.84
01/01/2012,06:00,N,LZ_LCRA,19.85
01/01/2012,06:00,N,LZ_NORTH,19.84
01/01/2012,06:00,N,LZ_RAYBN,19.84
01/01/2012,06:00,N,LZ_SOUTH,19.85
01/01/2012,06:00,N,LZ_WEST,22.43
01/01/2012,07:00,N,HB_BUSAVG,21.38
