"Delivery Date","Hour Ending","Repeated Hour Flag","Settlement Point","Settlement Point Price"
"01/01/2015","01:00","N","HB_BUSAVG","22.09"
"01/01/2015","01:00","N","HB_HOUSTON","22.01"
"01/01/2015","01:00","N","HB_HUBAVG","22.13"
"01/01/2015","01:00","N","HB_NORTH","22.03"
"01/01/2015","01:00","N","HB_SOUTH","22.18"
"01/01/2015","01:00","N","HB_WEST","22.30"
"01/01/2015","01:00","N","LZ_AEN","22.17"
"01/01/2015","01:00","N","LZ_CPS","22.24"
"01/01/2015","01:00","N","LZ_HOUSTON","22"
"01/01/2015","01:00","N","LZ_LCRA","22.22"
"01/01/2015","01:00","N","LZ_NORTH","22.02"
"01/01/2015","01:00","N","LZ_RAYBN","22.02"
"01/01/2015","01:00","N","LZ_SOUTH","22.33"
"01/01/2015","01:00","N","LZ_WEST","25.30"
"01/01/2015","02:00","N","HB_BUSAVG","21.54"
"01/01/2015","02:00","N","HB_HOUSTON","21.39"
"01/01/2015","02:00","N","HB_HUBAVG","21.59"
"01/01/2015","02:00","N","HB_NORTH","21.45"
"01/01/2015","02:00","N","HB_SOUTH","21.70"
"01/01/2015","02:00","N","HB_WEST","21.84"
"01/01/2015","02:00","N","LZ_AEN","21.68"
"01/01/2015","02:00","N","LZ_CPS","21.81"
"01/01/2015","02:00","N","LZ_HOUSTON","21.37"
"01/01/2015","02:00","N","LZ_LCRA","21.78"
"01/01/2015","02:00","N","LZ_NORTH","21.44"
"01/01/2015","02:00","N","LZ_RAYBN","21.42"
"01/01/2015","02:00","N","LZ_SOUTH","21.96"
"01/01/2015","02:00","N","LZ_WEST","26.96"
"01/01/2015","03:00","N","HB_BUSAVG","21.22"
"01/01/2015","03:00","N","HB_HOUSTON","21"
"01/01/2015","03:00","N","HB_HUBAVG","21.24"
"01/01/2015","03:00","N","HB_NORTH","21.16"
"01/01/2015","03:00","N","HB_SOUTH","21.40"
"01/01/2015","03:00","N","HB_WEST","21.39"
"01/01/2015","03:00","N","LZ_AEN","21.34"
"01/01/2015","03:00","N","LZ_CPS","21.46"
"01/01/2015","03:00","N","LZ_HOUSTON","20.98"
"01/01/2015","03:00","N","LZ_LCRA","21.47"
"01/01/2015","03:00","N","LZ_NORTH","21.16"
"01/01/2015","03:00","N","LZ_RAYBN","21.15"
"01/01/2015","03:00","N","LZ_SOUTH","21.80"
"01/01/2015","03:00","N","LZ_WEST","23.26"
"01/01/2015","04:00","N","HB_BUSAVG","21.03"
"01/01/2015","04:00","N","HB_HOUSTON","20.72"
"01/01/2015","04:00","N","HB_HUBAVG","21.05"
"01/01/2015","04:00","N","HB_NORTH","20.95"
"01/01/2015","04:00","N","HB_SOUTH","21.30"
"01/01/2015","04:00","N","HB_WEST","21.24"
"01/01/2015","04:00","N","LZ_AEN","21.20"
"01/01/2015","04:00","N","LZ_CPS","21.37"
"01/01/2015","04:00","N","LZ_HOUSTON","20.69"
"01/01/2015","04:00","N","LZ_LCRA","21.39"
"01/01/2015","04:00","N","LZ_NORTH","20.94"
"01/01/2015","04:00","N","LZ_RAYBN","20.93"
"01/01/2015","04:00","N","LZ_SOUTH","21.89"
"01/01/2015","04:00","N","LZ_WEST","24.25"
"01/01/2015","05:00","N","HB_BUSAVG","21.44"
"01/01/2015","05:00","N","HB_HOUSTON","21.18"
"01/01/2015","05:00","N","HB_HUBAVG","21.46"
"01/01/2015","05:00","N","HB_NORTH","21.38"
"01/01/2015","05:00","N","HB_SOUTH","21.67"
"01/01/2015","05:00","N","HB_WEST","21.62"
"01/01/2015","05:00","N","LZ_AEN","21.58"
"01/01/2015","05:00","N","LZ_CPS","21.72"
"01/01/2015","05:00","N","LZ_HOUSTON","21.16"
"01/01/2015","05:00","N","LZ_LCRA","21.74"
"01/01/2015","05:00","N","LZ_NORTH","21.37"
"01/01/2015","05:00","N","LZ_RAYBN","21.36"
"01/01/2015","05:00","N","LZ_SOUTH","22.19"
"01/01/2015","05:00","N","LZ_WEST","23.62"
"01/01/2015","06:00","N","HB_BUSAVG","24.79"
"01/01/2015","06:00","N","HB_HOUSTON","24.58"
"01/01/2015","06:00","N","HB_HUBAVG","24.82"
"01/01/2015","06:00","N","HB_NORTH","24.72"
"01/01/2015","06:00","N","HB_SOUTH","24.99"
"01/01/2015","06:00","N","HB_WEST","25"
"01/01/2015","06:00","N","LZ_AEN","24.93"
"01/01/2015","06:00","N","LZ_CPS","25.09"
"01/01/2015","06:00","N","LZ_HOUSTON","24.56"
"01/01/2015","06:00","N","LZ_LCRA","25.06"
"01/01/2015","06:00","N","LZ_NORTH","24.72"
"01/01/2015","06:00","N","LZ_RAYBN","24.71"
"01/01/2015","06:00","N","LZ_SOUTH","25.47"
"01/01/2015","06:00","N","LZ_WEST","28.01"
"01/01/2015","07:00","N","HB_BUSAVG","26.28"
"01/01/2015","07:00","N","HB_HOUSTON","24.84"
"01/01/2015","07:00","N","HB_HUBAVG","26.12"
"01/01/2015","07:00","N","HB_NORTH","26.61"
"01/01/2015","07:00","N","HB_SOUTH","26.05"
"01/01/2015","07:00","N","HB_WEST","27"
"01/01/2015","07:00","N","LZ_AEN","25.91"
"01/01/2015","07:00","N","LZ_CPS","26.26"
"01/01/2015","07:00","N","LZ_HOUSTON","24.78"
"01/01/2015","07:00","N","LZ_LCRA","26.23"
"01/01/2015","07:00","N","LZ_NORTH","26.69"
"01/01/2015","07:00","N","LZ_RAYBN","26.83"
"01/01/2015","07:00","N","LZ_SOUTH","27.41"
"01/01/2015","07:00","N","LZ_WEST","31.65"
"01/01/2015","08:00","N","HB_BUSAVG","26.03"
"01/01/2015","08:00","N","HB_HOUSTON","25.11"
"01/01/2015","08:00","N","HB_HUBAVG","25.97"
"01/01/2015","08:00","N","HB_NORTH","26.14"
"01/01/2015","08:00","N","HB_SOUTH","26.12"
"01/01/2015","08:00","N","HB_WEST","26.52"
"01/01/2015","08:00","N","LZ_AEN","26.39"
"01/01/2015","08:00","N","LZ_CPS","26.36"
"01/01/2015","08:00","N","LZ_HOUSTON","25.11"
"01/01/2015","08:00","N","LZ_LCRA","26.35"
"01/01/2015","08:00","N","LZ_NORTH","26.19"
"01/01/2015","08:00","N","LZ_RAYBN","26.24"
"01/01/2015","08:00","N","LZ_SOUTH","27.36"
"01/01/2015","08:00","N","LZ_WEST","30.36"
"01/01/2015","09:00","N","HB_BUSAVG","26.67"
"01/01/2015","09:00","N","HB_HOUSTON","25.87"
"01/01/2015","09:00","N","HB_HUBAVG","26.63"
"01/01/2015","09:00","N","HB_NORTH","26.73"
"01/01/2015","09:00","N","HB_SOUTH","26.80"
"01/01/2015","09:00","N","HB_WEST","27.12"
"01/01/2015","09:00","N","LZ_AEN","26.97"
"01/01/2015","09:00","N","LZ_CPS","27.05"
"01/01/2015","09:00","N","LZ_HOUSTON","25.87"
"01/01/2015","09:00","N","LZ_LCRA","27.01"
"01/01/2015","09:00","N","LZ_NORTH","26.78"
"01/01/2015","09:00","N","LZ_RAYBN","26.81"
"01/01/2015","09:00","N","LZ_SOUTH","28.16"
"01/01/2015","09:00","N","LZ_WEST","30.84"
"01/01/2015","10:00","N","HB_BUSAVG","28.72"
"01/01/2015","10:00","N","HB_HOUSTON","26.15"
"01/01/2015","10:00","N","HB_HUBAVG","28.47"
"01/01/2015","10:00","N","HB_NORTH","28.99"
"01/01/2015","10:00","N","HB_SOUTH","29.19"
"01/01/2015","10:00","N","HB_WEST","29.53"
"01/01/2015","10:00","N","LZ_AEN","29.62"
"01/01/2015","10:00","N","LZ_CPS","29.45"
"01/01/2015","10:00","N","LZ_HOUSTON","26.02"
"01/01/2015","10:00","N","LZ_LCRA","30.08"
"01/01/2015","10:00","N","LZ_NORTH","29.12"
"01/01/2015","10:00","N","LZ_RAYBN","29.20"
"01/01/2015","10:00","N","LZ_SOUTH","32.34"
"01/01/2015","10:00","N","LZ_WEST","32.55"
"01/01/2015","11:00","N","HB_BUSAVG","28.96"
"01/01/2015","11:00","N","HB_HOUSTON","28.33"
"01/01/2015","11:00","N","HB_HUBAVG","28.93"
"01/01/2015","11:00","N","HB_NORTH","29.02"
"01/01/2015","11:00","N","HB_SOUTH","28.94"
"01/01/2015","11:00","N","HB_WEST","29.41"
