Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2019,1,1,N,HB_BUSAVG,SH,10.63
01/01/2019,1,2,N,HB_BUSAVG,SH,14.24
01/01/2019,1,3,N,HB_BUSAVG,SH,15.27
01/01/2019,1,4,N,HB_BUSAVG,SH,14.98
01/01/2019,1,1,N,HB_HOUSTON,HU,10.63
01/01/2019,1,2,N,HB_HOUSTON,HU,14.24
01/01/2019,1,3,N,HB_HOUSTON,HU,16.09
01/01/2019,1,4,N,HB_HOUSTON,HU,15.80
01/01/2019,1,1,N,HB_HUBAVG,AH,10.63
01/01/2019,1,2,N,HB_HUBAVG,AH,14.24
01/01/2019,1,3,N,HB_HUBAVG,AH,15.33
01/01/2019,1,4,N,HB_HUBAVG,AH,15.04
01/01/2019,1,1,N,HB_NORTH,HU,10.63
01/01/2019,1,2,N,HB_NORTH,HU,14.24
01/01/2019,1,3,N,HB_NORTH,HU,14.73
01/01/2019,1,4,N,HB_NORTH,HU,14.44
01/01/2019,1,1,N,HB_SOUTH,HU,10.63
01/01/2019,1,2,N,HB_SOUTH,HU,14.24
01/01/2019,1,3,N,HB_SOUTH,HU,17.36
01/01/2019,1,4,N,HB_SOUTH,HU,17.08
01/01/2019,1,1,N,HB_WEST,HU,10.63
01/01/2019,1,2,N,HB_WEST,HU,14.24
01/01/2019,1,3,N,HB_WEST,HU,13.13
01/01/2019,1,4,N,HB_WEST,HU,12.82
01/01/2019,1,1,N,LZ_AEN,LZ,10.63
01/01/2019,1,1,N,LZ_AEN,LZEW,10.64
01/01/2019,1,2,N,LZ_AEN,LZ,14.24
01/01/2019,1,2,N,LZ_AEN,LZEW,14.24
01/01/2019,1,3,N,LZ_AEN,LZ,17.49
01/01/2019,1,3,N,LZ_AEN,LZEW,17.49
01/01/2019,1,4,N,LZ_AEN,LZ,17.20
01/01/2019,1,4,N,LZ_AEN,LZEW,17.20
01/01/2019,1,1,N,LZ_CPS,LZ,10.63
01/01/2019,1,1,N,LZ_CPS,LZEW,10.64
01/01/2019,1,2,N,LZ_CPS,LZ,14.24
01/01/2019,1,2,N,LZ_CPS,LZEW,14.24
01/01/2019,1,3,N,LZ_CPS,LZ,17.85
01/01/2019,1,3,N,LZ_CPS,LZEW,17.85
01/01/2019,1,4,N,LZ_CPS,LZ,17.58
01/01/2019,1,4,N,LZ_CPS,LZEW,17.58
01/01/2019,1,1,N,LZ_HOUSTON,LZ,10.63
01/01/2019,1,1,N,LZ_HOUSTON,LZEW,10.64
01/01/2019,1,2,N,LZ_HOUSTON,LZ,14.24
01/01/2019,1,2,N,LZ_HOUSTON,LZEW,14.24
01/01/2019,1,3,N,LZ_HOUSTON,LZ,16.12
01/01/2019,1,3,N,LZ_HOUSTON,LZEW,16.12
01/01/2019,1,4,N,LZ_HOUSTON,LZ,15.84
01/01/2019,1,4,N,LZ_HOUSTON,LZEW,15.84
01/01/2019,1,1,N,LZ_LCRA,LZ,10.63
01/01/2019,1,1,N,LZ_LCRA,LZEW,10.65
01/01/2019,1,2,N,LZ_LCRA,LZ,14.24
01/01/2019,1,2,N,LZ_LCRA,LZEW,14.24
01/01/2019,1,3,N,LZ_LCRA,LZ,18.71
01/01/2019,1,3,N,LZ_LCRA,LZEW,18.71
01/01/2019,1,4,N,LZ_LCRA,LZ,18.44
01/01/2019,1,4,N,LZ_LCRA,LZEW,18.44
01/01/2019,1,1,N,LZ_NORTH,LZ,10.63
01/01/2019,1,1,N,LZ_NORTH,LZEW,10.65
01/01/2019,1,2,N,LZ_NORTH,LZ,14.24
01/01/2019,1,2,N,LZ_NORTH,LZEW,14.24
01/01/2019,1,3,N,LZ_NORTH,LZ,14.67
01/01/2019,1,3,N,LZ_NORTH,LZEW,14.67
01/01/2019,1,4,N,LZ_NORTH,LZ,14.39
01/01/2019,1,4,N,LZ_NORTH,LZEW,14.39
01/01/2019,1,1,N,LZ_RAYBN,LZ,10.63
01/01/2019,1,1,N,LZ_RAYBN,LZEW,10.65
01/01/2019,1,2,N,LZ_RAYBN,LZ,14.24
01/01/2019,1,2,N,LZ_RAYBN,LZEW,14.24
01/01/2019,1,3,N,LZ_RAYBN,LZ,14.61
01/01/2019,1,3,N,LZ_RAYBN,LZEW,14.61
01/01/2019,1,4,N,LZ_RAYBN,LZ,14.32
01/01/2019,1,4,N,LZ_RAYBN,LZEW,14.32
01/01/2019,1,1,N,LZ_SOUTH,LZ,10.63
01/01/2019,1,1,N,LZ_SOUTH,LZEW,10.62
01/01/2019,1,2,N,LZ_SOUTH,LZ,14.24
01/01/2019,1,2,N,LZ_SOUTH,LZEW,14.24
01/01/2019,1,3,N,LZ_SOUTH,LZ,17.58
01/01/2019,1,3,N,LZ_SOUTH,LZEW,17.58
01/01/2019,1,4,N,LZ_SOUTH,LZ,17.30
01/01/2019,1,4,N,LZ_SOUTH,LZEW,17.30
01/01/2019,1,1,N,LZ_WEST,LZ,10.63
01/01/2019,1,1,N,LZ_WEST,LZEW,10.63
01/01/2019,1,2,N,LZ_WEST,LZ,14.24
01/01/2019,1,2,N,LZ_WEST,LZEW,14.24
01/01/2019,1,3,N,LZ_WEST,LZ,12.86
01/01/2019,1,3,N,LZ_WEST,LZEW,12.86
01/01/2019,1,4,N,LZ_WEST,LZ,12.55
01/01/2019,1,4,N,LZ_WEST,LZEW,12.55
01/01/2019,2,1,N,HB_BUSAVG,SH,14.57
01/01/2019,2,2,N,HB_BUSAVG,SH,14.86
01/01/2019,2,3,N,HB_BUSAVG,SH,14.91
01/01/2019,2,4,N,HB_BUSAVG,SH,15.04
01/01/2019,2,1,N,HB_HOUSTON,HU,14.94
01/01/2019,2,2,N,HB_HOUSTON,HU,15.08
01/01/2019,2,3,N,HB_HOUSTON,HU,15.24
01/01/2019,2,4,N,HB_HOUSTON,HU,15.47
01/01/2019,2,1,N,HB_HUBAVG,AH,14.60
01/01/2019,2,2,N,HB_HUBAVG,AH,14.88
01/01/2019,2,3,N,HB_HUBAVG,AH,14.93
