CPT,"ENDING	",ZONEID,MW
7/31/01,0:15:00,"	24","	3490"
7/31/01,0:15:00,"	26","	11171"
7/31/01,0:15:00,"	28","	24297"
7/31/01,0:30:00,"	24","	3370"
7/31/01,0:30:00,"	26","	10762"
7/31/01,0:30:00,"	28","	23916"
7/31/01,0:45:00,"	24","	3268"
7/31/01,0:45:00,"	26","	10475"
7/31/01,0:45:00,"	28","	23600"
7/31/01,1:00:00,"	24","	3120"
7/31/01,1:00:00,"	26","	9864"
7/31/01,1:00:00,"	28","	23226"
7/31/01,1:15:00,"	24","	3004"
7/31/01,1:15:00,"	26","	10284"
7/31/01,1:15:00,"	28","	22727"
7/31/01,1:30:00,"	24","	2947"
7/31/01,1:30:00,"	26","	10152"
7/31/01,1:30:00,"	28","	22513"
7/31/01,1:45:00,"	24","	2919"
7/31/01,1:45:00,"	26","	10039"
7/31/01,1:45:00,"	28","	22310"
7/31/01,2:00:00,"	24","	2835"
7/31/01,2:00:00,"	26","	9926"
7/31/01,2:00:00,"	28","	22144"
7/31/01,2:15:00,"	24","	2945"
7/31/01,2:15:00,"	26","	9800"
7/31/01,2:15:00,"	28","	22265"
7/31/01,2:30:00,"	24","	2930"
7/31/01,2:30:00,"	26","	9721"
7/31/01,2:30:00,"	28","	22102"
7/31/01,2:45:00,"	24","	2911"
7/31/01,2:45:00,"	26","	9661"
7/31/01,2:45:00,"	28","	21962"
7/31/01,3:00:00,"	24","	2909"
7/31/01,3:00:00,"	26","	9550"
7/31/01,3:00:00,"	28","	21823"
7/31/01,3:15:00,"	24","	2816"
7/31/01,3:15:00,"	26","	9617"
7/31/01,3:15:00,"	28","	20709"
7/31/01,3:30:00,"	24","	2791"
7/31/01,3:30:00,"	26","	9595"
7/31/01,3:30:00,"	28","	20595"
7/31/01,3:45:00,"	24","	2773"
7/31/01,3:45:00,"	26","	9571"
7/31/01,3:45:00,"	28","	20501"
7/31/01,4:00:00,"	24","	2734"
7/31/01,4:00:00,"	26","	9546"
7/31/01,4:00:00,"	28","	20415"
7/31/01,4:15:00,"	24","	2760"
7/31/01,4:15:00,"	26","	9532"
7/31/01,4:15:00,"	28","	20213"
7/31/01,4:30:00,"	24","	2757"
7/31/01,4:30:00,"	26","	9528"
7/31/01,4:30:00,"	28","	20228"
7/31/01,4:45:00,"	24","	2767"
7/31/01,4:45:00,"	26","	9543"
7/31/01,4:45:00,"	28","	20321"
7/31/01,5:00:00,"	24","	2754"
7/31/01,5:00:00,"	26","	9514"
7/31/01,5:00:00,"	28","	20423"
7/31/01,5:15:00,"	24","	2861"
7/31/01,5:15:00,"	26","	9656"
7/31/01,5:15:00,"	28","	20818"
7/31/01,5:30:00,"	24","	2870"
7/31/01,5:30:00,"	26","	9667"
7/31/01,5:30:00,"	28","	20984"
7/31/01,5:45:00,"	24","	2847"
7/31/01,5:45:00,"	26","	9569"
7/31/01,5:45:00,"	28","	21100"
7/31/01,6:00:00,"	24","	2906"
7/31/01,6:00:00,"	26","	9763"
7/31/01,6:00:00,"	28","	21346"
7/31/01,6:15:00,"	24","	2632"
7/31/01,6:15:00,"	26","	10026"
7/31/01,6:15:00,"	28","	22988"
7/31/01,6:30:00,"	24","	2572"
7/31/01,6:30:00,"	26","	9841"
7/31/01,6:30:00,"	28","	23006"
7/31/01,6:45:00,"	24","	2539"
7/31/01,6:45:00,"	26","	9784"
7/31/01,6:45:00,"	28","	23097"
7/31/01,7:00:00,"	24","	2444"
7/31/01,7:00:00,"	26","	9357"
7/31/01,7:00:00,"	28","	22974"
7/31/01,7:15:00,"	24","	2546"
7/31/01,7:15:00,"	26","	10326"
7/31/01,7:15:00,"	28","	23735"
7/31/01,7:30:00,"	24","	2555"
7/31/01,7:30:00,"	26","	10470"
7/31/01,7:30:00,"	28","	23952"
7/31/01,7:45:00,"	24","	2591"
7/31/01,7:45:00,"	26","	10603"
7/31/01,7:45:00,"	28","	24209"
7/31/01,8:00:00,"	24","	2564"
7/31/01,8:00:00,"	26","	10772"
7/31/01,8:00:00,"	28","	24526"
7/31/01,8:15:00,"	24","	2773"
7/31/01,8:15:00,"	26","	10696"
7/31/01,8:15:00,"	28","	25054"
7/31/01,8:30:00,"	24","	2839"
7/31/01,8:30:00,"	26","	10787"
7/31/01,8:30:00,"	28","	25367"
7/31/01,8:45:00,"	24","	2914"
7/31/01,8:45:00,"	26","	10903"
7/31/01,8:45:00,"	28","	25702"
7/31/01,9:00:00,"	24","	3012"
7/31/01,9:00:00,"	26","	10964"
7/31/01,9:00:00,"	28","	26055"
7/31/01,9:15:00,"	24","	3058"
7/31/01,9:15:00,"	26","	11263"
7/31/01,9:15:00,"	28","	26816"
7/31/01,9:30:00,"	24","	3120"
7/31/01,9:30:00,"	26","	11441"
7/31/01,9:30:00,"	28","	27193"
7/31/01,9:45:00,"	24","	3168"
7/31/01,9:45:00,"	26","	11640"
7/31/01,9:45:00,"	28","	27605"
7/31/01,10:00:00,"	24","	3230"
7/31/01,10:00:00,"	26","	11784"
7/31/01,10:00:00,"	28","	28006"
7/31/01,10:15:00,"	24","	3241"
7/31/01,10:15:00,"	26","	12194"
7/31/01,10:15:00,"	28","	28925"
7/31/01,10:30:00,"	24","	3284"
7/31/01,10:30:00,"	26","	12514"
7/31/01,10:30:00,"	28","	29195"
7/31/01,10:45:00,"	24","	3326"
7/31/01,10:45:00,"	26","	12726"
7/31/01,10:45:00,"	28","	29356"
7/31/01,11:00:00,"	24","	3361"
7/31/01,11:00:00,"	26","	12976"
7/31/01,11:00:00,"	28","	29448"
7/31/01,11:15:00,"	24","	3440"
7/31/01,11:15:00,"	26","	13059"
7/31/01,11:15:00,"	28","	29926"
7/31/01,11:30:00,"	24","	3485"
7/31/01,11:30:00,"	26","	13238"
7/31/01,11:30:00,"	28","	30047"
7/31/01,11:45:00,"	24","	3530"
7/31/01,11:45:00,"	26","	13390"
7/31/01,11:45:00,"	28","	30223"
7/31/01,12:00:00,"	24","	3582"
7/31/01,12:00:00,"	26","	13594"
7/31/01,12:00:00,"	28","	30514"
7/31/01,12:15:00,"	24","	3603"
7/31/01,12:15:00,"	26","	13634"
7/31/01,12:15:00,"	28","	31011"
7/31/01,12:30:00,"	24","	3639"
7/31/01,12:30:00,"	26","	13777"
7/31/01,12:30:00,"	28","	31259"
7/31/01,12:45:00,"	24","	3650"
7/31/01,12:45:00,"	26","	13947"
7/31/01,12:45:00,"	28","	31466"
7/31/01,13:00:00,"	24","	3695"
7/31/01,13:00:00,"	26","	14058"
7/31/01,13:00:00,"	28","	31636"
7/31/01,13:15:00,"	24","	3642"
7/31/01,13:15:00,"	26","	14626"
7/31/01,13:15:00,"	28","	32113"
7/31/01,13:30:00,"	24","	3641"
7/31/01,13:30:00,"	26","	14847"
7/31/01,13:30:00,"	28","	32280"
7/31/01,13:45:00,"	24","	3660"
7/31/01,13:45:00,"	26","	15027"
7/31/01,13:45:00,"	28","	32443"
7/31/01,14:00:00,"	24","	3649"
7/31/01,14:00:00,"	26","	15284"
7/31/01,14:00:00,"	28","	32624"
7/31/01,14:15:00,"	24","	3740"
7/31/01,14:15:00,"	26","	15305"
7/31/01,14:15:00,"	28","	32853"
7/31/01,14:30:00,"	24","	3774"
7/31/01,14:30:00,"	26","	15457"
7/31/01,14:30:00,"	28","	33052"
7/31/01,14:45:00,"	24","	3803"
7/31/01,14:45:00,"	26","	15583"
7/31/01,14:45:00,"	28","	33231"
7/31/01,15:00:00,"	24","	3843"
7/31/01,15:00:00,"	26","	15759"
7/31/01,15:00:00,"	28","	33403"
7/31/01,15:15:00,"	24","	3851"
7/31/01,15:15:00,"	26","	15879"
7/31/01,15:15:00,"	28","	33937"
7/31/01,15:30:00,"	24","	3871"
7/31/01,15:30:00,"	26","	15982"
7/31/01,15:30:00,"	28","	34019"
7/31/01,15:45:00,"	24","	3883"
7/31/01,15:45:00,"	26","	16053"
7/31/01,15:45:00,"	28","	34112"
7/31/01,16:00:00,"	24","	3915"
7/31/01,16:00:00,"	26","	16186"
7/31/01,16:00:00,"	28","	34179"
7/31/01,16:15:00,"	24","	4237"
7/31/01,16:15:00,"	26","	15908"
7/31/01,16:15:00,"	28","	34419"
7/31/01,16:30:00,"	24","	4249"
7/31/01,16:30:00,"	26","	15689"
7/31/01,16:30:00,"	28","	34399"
7/31/01,16:45:00,"	24","	4253"
7/31/01,16:45:00,"	26","	15517"
7/31/01,16:45:00,"	28","	34403"
7/31/01,17:00:00,"	24","	4254"
7/31/01,17:00:00,"	26","	15111"
7/31/01,17:00:00,"	28","	34380"
7/31/01,17:15:00,"	24","	4270"
7/31/01,17:15:00,"	26","	15438"
7/31/01,17:15:00,"	28","	34445"
7/31/01,17:30:00,"	24","	4272"
7/31/01,17:30:00,"	26","	15386"
7/31/01,17:30:00,"	28","	34363"
7/31/01,17:45:00,"	24","	4262"
7/31/01,17:45:00,"	26","	15273"
7/31/01,17:45:00,"	28","	34277"
7/31/01,18:00:00,"	24","	4269"
7/31/01,18:00:00,"	26","	15288"
7/31/01,18:00:00,"	28","	34072"
7/31/01,18:15:00,"	24","	4236"
7/31/01,18:15:00,"	26","	15123"
7/31/01,18:15:00,"	28","	33719"
7/31/01,18:30:00,"	24","	4216"
7/31/01,18:30:00,"	26","	15032"
7/31/01,18:30:00,"	28","	33510"
7/31/01,18:45:00,"	24","	4189"
7/31/01,18:45:00,"	26","	14904"
7/31/01,18:45:00,"	28","	33265"
7/31/01,19:00:00,"	24","	4174"
7/31/01,19:00:00,"	26","	14833"
7/31/01,19:00:00,"	28","	33046"
7/31/01,19:15:00,"	24","	4125"
7/31/01,19:15:00,"	26","	14594"
7/31/01,19:15:00,"	28","	32420"
7/31/01,19:30:00,"	24","	4088"
7/31/01,19:30:00,"	26","	14428"
7/31/01,19:30:00,"	28","	32252"
7/31/01,19:45:00,"	24","	4045"
7/31/01,19:45:00,"	26","	14262"
