CPT,ENDING,ZONEID,"	MW"
1/1/07,0:15:00,"	240","	6187"
1/1/07,0:15:00,"	242","	12501"
1/1/07,0:15:00,"	244","	8177"
1/1/07,0:15:00,"	246","	2284"
1/1/07,0:30:00,"	240","	6110"
1/1/07,0:30:00,"	242","	12578"
1/1/07,0:30:00,"	244","	8175"
1/1/07,0:30:00,"	246","	2291"
1/1/07,0:45:00,"	240","	6048"
1/1/07,0:45:00,"	242","	12640"
1/1/07,0:45:00,"	244","	8174"
1/1/07,0:45:00,"	246","	2335"
1/1/07,1:00:00,"	240","	5999"
1/1/07,1:00:00,"	242","	12689"
1/1/07,1:00:00,"	244","	8170"
1/1/07,1:00:00,"	246","	2342"
1/1/07,1:15:00,"	240","	5564"
1/1/07,1:15:00,"	242","	12936"
1/1/07,1:15:00,"	244","	8317"
1/1/07,1:15:00,"	246","	2356"
1/1/07,1:30:00,"	240","	5538"
1/1/07,1:30:00,"	242","	12962"
1/1/07,1:30:00,"	244","	8309"
1/1/07,1:30:00,"	246","	2357"
1/1/07,1:45:00,"	240","	5516"
1/1/07,1:45:00,"	242","	12983"
1/1/07,1:45:00,"	244","	8301"
1/1/07,1:45:00,"	246","	2410"
1/1/07,2:00:00,"	240","	5494"
1/1/07,2:00:00,"	242","	13023"
1/1/07,2:00:00,"	244","	8289"
1/1/07,2:00:00,"	246","	2419"
1/1/07,2:15:00,"	240","	5479"
1/1/07,2:15:00,"	242","	12930"
1/1/07,2:15:00,"	244","	8419"
1/1/07,2:15:00,"	246","	2089"
1/1/07,2:30:00,"	240","	5460"
1/1/07,2:30:00,"	242","	12953"
1/1/07,2:30:00,"	244","	8425"
1/1/07,2:30:00,"	246","	2079"
1/1/07,2:45:00,"	240","	5439"
1/1/07,2:45:00,"	242","	12976"
1/1/07,2:45:00,"	244","	8416"
1/1/07,2:45:00,"	246","	2147"
1/1/07,3:00:00,"	240","	5422"
1/1/07,3:00:00,"	242","	12989"
1/1/07,3:00:00,"	244","	8396"
1/1/07,3:00:00,"	246","	2156"
1/1/07,3:15:00,"	240","	5441"
1/1/07,3:15:00,"	242","	12943"
1/1/07,3:15:00,"	244","	8430"
1/1/07,3:15:00,"	246","	1916"
1/1/07,3:30:00,"	240","	5440"
1/1/07,3:30:00,"	242","	12942"
1/1/07,3:30:00,"	244","	8446"
1/1/07,3:30:00,"	246","	1915"
1/1/07,3:45:00,"	240","	5444"
1/1/07,3:45:00,"	242","	12936"
1/1/07,3:45:00,"	244","	8471"
1/1/07,3:45:00,"	246","	1953"
1/1/07,4:00:00,"	240","	5455"
1/1/07,4:00:00,"	242","	12967"
1/1/07,4:00:00,"	244","	8501"
1/1/07,4:00:00,"	246","	1964"
1/1/07,4:15:00,"	240","	5463"
1/1/07,4:15:00,"	242","	13203"
1/1/07,4:15:00,"	244","	8608"
1/1/07,4:15:00,"	246","	1860"
1/1/07,4:30:00,"	240","	5463"
1/1/07,4:30:00,"	242","	13227"
1/1/07,4:30:00,"	244","	8637"
1/1/07,4:30:00,"	246","	1855"
1/1/07,4:45:00,"	240","	5462"
1/1/07,4:45:00,"	242","	13252"
1/1/07,4:45:00,"	244","	8651"
1/1/07,4:45:00,"	246","	1801"
1/1/07,5:00:00,"	240","	5460"
1/1/07,5:00:00,"	242","	13394"
1/1/07,5:00:00,"	244","	8668"
1/1/07,5:00:00,"	246","	1794"
1/1/07,5:15:00,"	240","	5469"
1/1/07,5:15:00,"	242","	13661"
1/1/07,5:15:00,"	244","	8717"
1/1/07,5:15:00,"	246","	1896"
1/1/07,5:30:00,"	240","	5509"
1/1/07,5:30:00,"	242","	13847"
1/1/07,5:30:00,"	244","	8776"
1/1/07,5:30:00,"	246","	1886"
1/1/07,5:45:00,"	240","	5549"
1/1/07,5:45:00,"	242","	14176"
1/1/07,5:45:00,"	244","	8877"
1/1/07,5:45:00,"	246","	1768"
