Nuclear,NG,RFO,Hydro,Coal,Wood,Wind,Other
5708.1,10723.3713423166,0,2587.09,655.1,0,356.699036325,227.8
5708.1,10334.8532464774,0,2587.09,655.1,0,370.178657135,227.8
5708.1,9660.09225859955,0,2587.09,655.1,0,379.55231108,227.8
5708.1,9407.06671391536,0,2587.09,655.1,0,359.696082775,227.8
5708.1,9200.42658036953,0,2587.09,655.1,0,358.855641115,227.8
5708.1,9185.54235976969,0,2587.09,655.1,0,376.4150158,227.8
5708.1,9095.87623260529,0,2587.09,655.1,0,364.567933025,227.8
5708.1,9648.78924369035,0,2587.09,655.1,0,397.498800745,227.8
5708.1,10034.7633409418,0,2587.09,655.1,0,389.188639835,227.8
5708.1,10969.2172897775,0,2587.09,655.1,0,371.630822975,227.8
5708.1,11809.9491538333,0,2587.09,655.1,0,369.149802505,227.8
5708.1,12522.2373959412,20,2587.09,655.1,0,356.506484045,227.8
5708.1,12831.5971148229,20,2587.09,655.1,0,406.9292607,227.8
5708.1,13193.57468709,20,2587.09,655.1,0,392.00878218,227.8
5708.1,13594.015051285,20,2587.09,655.1,0,457.988423415,227.8
5708.1,14022.7920423675,20,2587.09,655.1,0,484.04082707,227.8
5708.1,14055.3405120505,20,2587.09,655.1,0,474.95833124,227.8
5708.1,14230.0111215476,20,2587.09,655.1,0,529.973642275,227.8
5708.1,14456.5851027215,20,2587.09,655.1,0,562.8456046,227.8
5708.1,14447.5192737811,20,2587.09,655.1,0,549.46853306,227.8
5708.1,13755.8777798514,20,2587.09,655.1,0,520.98463837,227.8
5708.1,13599.1784886206,20,2587.09,655.1,0,475.58734617,227.8
5708.1,12539.9584320636,0,2587.09,655.1,0,447.38341526,227.8
5708.1,10796.6795887187,0,2587.09,655.1,0,445.29735749,227.8
