Number of Bus,Name of Bus,ID,EIA plant code_gen ID,Start-Up Costs ($/MW of capacity/start),Shut-Down Costs ($/MW/shutdown),Cold Start-Up Time (hours),Warm Start-Up Time (hours),Hot Start-Up Time (hours),Minimum Up Time (hours),Minimum Down Time (hours),Ramp Rate Up and Down (%/min) , Variable O&M Costs ($/MWh),Fuel Costs ($/MMBtu),Sub Num of Bus,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Cost,IOD,AVR,RegBus Num,Fuel Type,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
111180,BAYTOWN 10 2,1,3460_1,100,10,8,8,8,60,5,12,3.5,2,828,Closed,94,0.61,87.52,746,YES,10,0,0,0,2.814,0,YES,111179,NG (Natural Gas),1.04,-250.07,379.71,YES,746,Piecewise Linear
111181,BAYTOWN 10 3,1,3460_2,100,10,8,8,8,60,5,12,3.5,2,828,Closed,303.73,0.61,303.73,749,YES,10,0,0,0,3.219,0,YES,111179,NG (Natural Gas),1.04,-231.35,381.24,YES,749,Piecewise Linear
111183,GALENA PARK 18 2,1,3464_73,35,3.5,1,1,1,840,0,0.1667,,,829,Closed,30,16.9,15.73,54,YES,10,0,0,0,3.144,0,YES,111183,NG (Natural Gas),1.04,-15.8,27.49,YES,54,Piecewise Linear
111184,GALENA PARK 18 3,1,3464_74,35,3.5,1,1,1,840,0,12,3,1.5,829,Closed,30,26.95,6.3,54,YES,10,0,0,0,3.646,0,YES,111184,NG (Natural Gas),1.04,-18.36,27.49,YES,54,Piecewise Linear
111185,GALENA PARK 18 4,1,3464_81,35,3.5,1,1,1,840,0,,,0.25,829,Closed,30,17.54,23.18,54,YES,10,0,0,0,3.242,0,YES,111185,NG (Natural Gas),1.04,-16.92,27.49,YES,54,Piecewise Linear
111186,GALENA PARK 18 5,1,3464_82,35,3.5,1,1,1,840,0,0.1667,,,829,Closed,30,16.44,23.19,50,YES,10,0,0,0,2.82,0,YES,111186,NG (Natural Gas),1.04,-14.5,25.45,YES,50,Piecewise Linear
111187,GALENA PARK 18 6,1,3464_83,35,3.5,1,1,1,840,0,1,,0.25,829,Closed,30,22.37,21.89,64,YES,10,0,0,0,2.995,0,YES,111187,NG (Natural Gas),1.04,-17.09,32.58,YES,64,Piecewise Linear
111188,GALENA PARK 18 7,1,3464_84,35,3.5,1,1,1,840,0,,,0.25,829,Closed,30,13.28,26.28,54,YES,10,0,0,0,3.449,0,YES,111188,NG (Natural Gas),1.04,-18.67,27.49,YES,54,Piecewise Linear
111190,CYPRESS 54 2,1,3469_3,85,8.5,6,6,4,840,0,0.1667,,,830,Closed,27.6,0.8,27.6,104,YES,10,0,0,0,3.172,0,YES,111190,NG (Natural Gas),1.04,-32.25,52.94,YES,104,Piecewise Linear
111191,CYPRESS 54 3,1,3469_4,85,8.5,6,6,4,840,0,12,3.5,2,830,Closed,48.44,1.15,48.44,104,YES,10,0,0,0,3.803,0,YES,111191,NG (Natural Gas),1.04,-33.75,52.94,YES,104,Piecewise Linear
111192,CYPRESS 54 4,1,3469_33,85,8.5,6,6,4,840,0,12,3,1.5,830,Closed,30,1.58,20.52,57,YES,10,0,0,0,3.084,0,YES,111192,NG (Natural Gas),1.04,-16.93,29.01,YES,57,Piecewise Linear
111193,CYPRESS 54 5,1,3469_34,85,8.5,6,6,4,840,0,1,,,830,Closed,30,0.93,14.65,57,YES,10,0,0,0,3.314,0,YES,111193,NG (Natural Gas),1.04,-15.98,29.01,YES,57,Piecewise Linear
111194,CYPRESS 54 6,1,3469_41,85,8.5,6,6,4,840,0,1,,,830,Closed,30,1.37,28.41,57,YES,10,0,0,0,3.388,0,YES,111194,NG (Natural Gas),1.04,-16.85,29.01,YES,57,Piecewise Linear
111195,CYPRESS 54 7,1,3469_42,85,8.5,6,6,4,840,0,1,,,830,Closed,30,0.81,24.09,57,YES,10,0,0,0,3.192,0,YES,111195,NG (Natural Gas),1.04,-16.91,29.01,YES,57,Piecewise Linear
111196,CYPRESS 54 8,1,3469_43,85,8.5,6,6,4,840,0,1,,,830,Closed,30,1.14,14.15,57,YES,10,0,0,0,3.05,0,YES,111196,NG (Natural Gas),1.04,-15.26,29.01,YES,57,Piecewise Linear
111197,CYPRESS 54 9,1,3469_44,85,8.5,6,6,4,840,0,1,,,830,Closed,30,0.69,13.05,57,YES,10,0,0,0,3.276,0,YES,111197,NG (Natural Gas),1.04,-18.09,29.01,YES,57,Piecewise Linear
111198,CYPRESS 54 10,1,3469_31,85,8.5,6,6,4,840,0,1,,,830,Closed,30,0.75,13.03,57,YES,10,0,0,0,3.01,0,YES,111198,NG (Natural Gas),1.04,-17.45,29.01,YES,57,Piecewise Linear
111199,CYPRESS 54 11,1,3469_32,85,8.5,6,6,4,840,0,1,,,830,Closed,30,0.65,25.07,57,YES,10,0,0,0,3.273,0,YES,111199,NG (Natural Gas),1.04,-18.57,29.01,YES,57,Piecewise Linear
111200,CYPRESS 54 12,1,3469_51,35,3.5,1,1,1,840,0,>12,3,1.5,830,Closed,53,0.84,25.87,58,YES,10,0,0,0,3.434,0,YES,111200,NG (Natural Gas),1.04,-15.64,29.52,YES,58,Piecewise Linear
111201,CYPRESS 54 13,1,3469_52,35,3.5,1,1,1,840,0,0.1667,,,830,Closed,53,0.78,25.9,58,YES,10,0,0,0,3.044,0,YES,111201,NG (Natural Gas),1.04,-14.74,29.52,YES,58,Piecewise Linear
111202,CYPRESS 54 14,1,3469_53,35,3.5,1,1,1,840,0,0.1667,,,830,Closed,53,0.6,10.82,58,YES,10,0,0,0,3.153,0,YES,111202,NG (Natural Gas),1.04,-16.54,29.52,YES,58,Piecewise Linear
111203,CYPRESS 54 15,1,3469_54,35,3.5,1,1,1,840,0,1,,0.25,830,Closed,53,1.2,8.97,58,YES,10,0,0,0,3.048,0,YES,111203,NG (Natural Gas),1.04,-15.65,29.52,YES,58,Piecewise Linear
111204,CYPRESS 54 16,1,3469_55,35,3.5,1,1,1,840,0,1,,0.25,830,Closed,53,1.08,17.69,58,YES,10,0,0,0,3.442,0,YES,111204,NG (Natural Gas),1.04,-16.45,29.52,YES,58,Piecewise Linear
111205,CYPRESS 54 17,1,3469_56,35,3.5,1,1,1,840,0,0.1667,,,830,Closed,53,1.07,26.75,58,YES,10,0,0,0,3.553,0,YES,111205,NG (Natural Gas),1.04,-19.79,29.52,YES,58,Piecewise Linear
111206,CYPRESS 54 18,1,3469_GT1,35,3.5,1,1,1,840,0,0.1667,,,830,Closed,5,0.89,3.03,13,YES,10,0,0,0,2.864,0,YES,111206,NG (Natural Gas),1.04,-3.8,6.62,YES,13,Piecewise Linear
111208,THOMPSONS 6 2,1,3470_5,115,11.5,24,24,12,60,14,1,,,831,Closed,664,2.91,149.2,664,YES,10,0,0,0,1.7,0,YES,111207,BIT (Bituminous Coal),1.04,-167.63,309.42,YES,664,Piecewise Linear
111209,THOMPSONS 6 3,1,3470_6,115,11.5,24,24,12,60,14,1,,,831,Closed,663,2.91,76.51,663,YES,10,0,0,0,1.7,0,YES,111207,BIT (Bituminous Coal),1.04,-223.78,308.96,YES,663,Piecewise Linear
111210,THOMPSONS 6 4,1,3470_8,115,11.5,24,24,12,60,14,1,,,831,Closed,452,2.91,224.35,610,YES,10,0,0,0,1.7,0,YES,111207,BIT (Bituminous Coal),1.04,-206.12,284.26,YES,610,Piecewise Linear
111211,THOMPSONS 6 5,1,3470_7,115,11.5,24,24,12,60,14,1,,,831,Closed,577,2.91,183.07,577,YES,10,0,0,0,1.7,0,YES,111207,BIT (Bituminous Coal),1.04,-194.27,268.88,YES,577,Piecewise Linear
111212,THOMPSONS 6 6,1,3470_GT1,35,3.5,1,1,1,840,0,1,,0.25,831,Closed,5,1.45,1.49,13,YES,10,0,0,0,3.487,0,YES,111212,NG (Natural Gas),1.04,-3.76,6.62,YES,13,Piecewise Linear
111212,THOMPSONS 6 6,2,3470_4,100,10,8,8,8,60,5,1,,,831,Closed,552,1.45,165.98,552,YES,10,0,0,0,2.833,0,YES,111207,NG (Natural Gas),1.04,-182.79,280.97,YES,552,Piecewise Linear
111213,THOMPSONS 6 7,1,3470_3,100,10,8,8,8,60,5,1,,,831,Closed,54,2.91,34.5,273,YES,10,0,0,0,3.04,0,YES,111207,NG (Natural Gas),1.04,-70.38,138.96,YES,273,Piecewise Linear
111214,THOMPSONS 6 8,1,3470_1,100,10,8,8,8,60,5,1,,,831,Closed,44.2,-0.62,44.2,169,YES,9,0,0,0,3.008,0,YES,111214,NG (Natural Gas),1.04,-58.46,86.02,YES,169,Piecewise Linear
111215,THOMPSONS 6 9,1,3470_2,100,10,8,8,8,60,5,1,,,831,Closed,29.81,2.91,29.81,169,YES,10,0,0,0,2.871,0,YES,111207,NG (Natural Gas),1.04,-49.07,86.02,YES,169,Piecewise Linear
111217,ELMATON 3 2,1,6251_1,10000,1000,168,168,24,6,0,0.1667,,,832,Closed,1280,70.14,201.18,1280,YES,5,0,0,0,0.75,0,YES,111216,NUC (Nuclear),1.039,-365.47,471.04,YES,1280,Piecewise Linear
111218,ELMATON 3 3,1,6251_2,10000,1000,168,168,24,6,0,12,3.5,,832,Closed,1280,70.14,178.29,1280,YES,5,0,0,0,0.75,0,YES,111216,NUC (Nuclear),1.039,-382.86,471.04,YES,1280,Piecewise Linear
