Facility Name,Facility ID,Pg,Qg,Qmax,Qmin,Pmax,Pmin,fuel,lat,long
Cedar Bayou,3460,643.52,1.54,379.71,-250.07,746.0,87.52,ng,29.7501,-94.9256
Cedar Bayou,3460,630.21,1.54,381.24,-231.35,749.0,303.73,ng,29.7501,-94.9256
Greens Bayou,3464,46.58,21.81,27.49,-15.8,54.0,15.73,ng,29.8222,-95.2194
Greens Bayou,3464,23.42,27.49,27.49,-18.36,54.0,6.3,ng,29.8222,-95.2194
Greens Bayou,3464,46.58,22.62,27.49,-16.92,54.0,23.18,ng,29.8222,-95.2194
Greens Bayou,3464,43.13,21.28,25.45,-14.5,50.0,23.19,ng,29.8222,-95.2194
Greens Bayou,3464,55.21,28.68,32.58,-17.09,64.0,21.89,ng,29.8222,-95.2194
Greens Bayou,3464,43.4,17.2,27.49,-18.67,54.0,26.28,ng,29.8222,-95.2194
T H Wharton,3469,60.57,5.9,52.94,-32.25,104.0,27.6,ng,29.9418,-95.5306
T H Wharton,3469,81.41,8.33,52.94,-33.75,104.0,48.44,ng,29.9418,-95.5306
T H Wharton,3469,49.17,10.12,29.01,-16.93,57.0,20.52,ng,29.9418,-95.5306
T H Wharton,3469,32.72,6.75,29.01,-15.98,57.0,14.65,ng,29.9418,-95.5306
T H Wharton,3469,49.17,8.94,29.01,-16.85,57.0,28.41,ng,29.9418,-95.5306
T H Wharton,3469,49.17,5.73,29.01,-16.91,57.0,24.09,ng,29.9418,-95.5306
T H Wharton,3469,49.17,7.51,29.01,-15.26,57.0,14.15,ng,29.9418,-95.5306
T H Wharton,3469,49.17,5.05,29.01,-18.09,57.0,13.05,ng,29.9418,-95.5306
T H Wharton,3469,49.17,5.02,29.01,-17.45,57.0,13.03,ng,29.9418,-95.5306
T H Wharton,3469,43.14,4.83,29.01,-18.57,57.0,25.07,ng,29.9418,-95.5306
T H Wharton,3469,44.26,7.35,29.52,-15.64,58.0,25.87,ng,29.9418,-95.5306
T H Wharton,3469,50.03,4.64,29.52,-14.74,58.0,25.9,ng,29.9418,-95.5306
T H Wharton,3469,50.03,5.57,29.52,-16.54,58.0,10.82,ng,29.9418,-95.5306
T H Wharton,3469,50.03,8.9,29.52,-15.65,58.0,8.97,ng,29.9418,-95.5306
T H Wharton,3469,36.08,7.07,29.52,-16.45,58.0,17.69,ng,29.9418,-95.5306
T H Wharton,3469,45.14,7.16,29.52,-19.79,58.0,26.75,ng,29.9418,-95.5306
W A Parish,3470,476.17,3.33,280.97,-182.79,552.0,165.98,ng,29.4829,-95.6311
W A Parish,3470,235.5,3.33,138.96,-70.38,273.0,34.5,ng,29.4829,-95.6311
W A Parish,3470,145.78,0.45,86.02,-58.46,169.0,44.2,ng,29.4829,-95.6311
W A Parish,3470,145.78,3.33,86.02,-49.07,169.0,29.81,ng,29.4829,-95.6311
Sweeny Cogeneration Facility,55015,60.88,0.99,55.48,-36.09,109.0,26.33,ng,29.0728,-95.745
Sweeny Cogeneration Facility,55015,94.03,55.48,55.48,-30.52,109.0,27.46,ng,29.0728,-95.745
Sweeny Cogeneration Facility,55015,81.45,1.46,55.48,-34.66,109.0,46.9,ng,29.0728,-95.745
Sweeny Cogeneration Facility,55015,94.03,1.39,55.48,-37.92,109.0,47.78,ng,29.0728,-95.745
San Jacinto Steam Electric Station,7325,60.57,13.1,41.23,-21.32,81.0,34.89,ng,29.6949,-95.0406
San Jacinto Steam Electric Station,7325,69.87,14.04,41.23,-21.95,81.0,13.8,ng,29.6949,-95.0406
Air Liquide Bayport Complex,10298,64.7,20.26,38.17,-25.11,75.0,20.03,ng,29.6226,-95.0458
Air Liquide Bayport Complex,10298,31.27,19.91,38.17,-25.04,75.0,7.5,ng,29.6226,-95.0458
Air Liquide Bayport Complex,10298,64.7,13.21,38.17,-22.4,75.0,27.46,ng,29.6226,-95.0458
Air Liquide Bayport Complex,10298,43.08,18.53,38.17,-20.5,75.0,19.31,ng,29.6226,-95.0458
Texas City Cogeneration,52088,86.32,7.44,70.75,-35.41,139.0,42.26,ng,29.3787,-94.9438
Texas City Cogeneration,52088,89.71,7.12,52.94,-26.52,104.0,37.35,ng,29.3787,-94.9438
Texas City Cogeneration,52088,89.71,7.08,52.94,-29.59,104.0,32.22,ng,29.3787,-94.9438
Sam Bertron,3468,77.64,43.0,45.81,-22.96,90.0,36.59,ng,29.7592,-95.0096
Sam Bertron,3468,56.93,14.96,33.59,-22.39,66.0,12.15,ng,29.7314,-95.0839
Sam Bertron,3468,41.15,15.36,33.59,-20.06,66.0,20.23,ng,29.7314,-95.0839
Sam Bertron,3468,38.91,14.88,31.56,-19.86,62.0,19.26,ng,29.7314,-95.0839
Sam Bertron,3468,59.52,13.18,35.12,-18.26,69.0,10.92,ng,29.7314,-95.0839
New Gulf Power Facility,50137,47.8,35.12,35.12,-22.98,69.0,25.93,ng,29.2639,-95.8997
Deer Park Energy Center,55464,20.67,10.4,16.83,-15.71,45.0,6.4,wasteheat,29.7232,-95.1289
Deer Park Energy Center,55464,25.37,10.4,14.24,-13.58,45.0,11.11,wasteheat,29.7232,-95.1289
Deer Park Energy Center,55464,64.7,32.49,38.17,-20.63,75.0,24.7,ng,29.7232,-95.1289
Deer Park Energy Center,55464,60.38,23.38,35.63,-18.38,70.0,34.86,ng,29.7232,-95.1289
Deer Park Energy Center,55464,126.9,48.64,143.54,-92.95,282.0,37.51,ng,29.7134,-95.1345
Deer Park Energy Center,55464,77.92,7.12,86.43,-52.35,169.8,24.1,ng,29.7134,-95.1345
Deer Park Energy Center,55464,74.45,10.24,86.43,-49.18,169.8,20.63,ng,29.7134,-95.1345
"Odyssey Energy Altura Cogen, LLC",50815,33.42,25.35,35.53,-24.08,69.8,11.29,ng,29.8162,-95.1077
"Odyssey Energy Altura Cogen, LLC",50815,42.19,4.94,35.68,-18.43,70.1,19.97,ng,29.8162,-95.1077
Freeport Energy Center,56152,82.12,4.49,48.46,-26.93,95.2,46.3,ng,28.9914,-95.4075
Freeport Energy Center,56152,48.08,4.69,34.76,-19.32,68.3,26.43,ng,28.9914,-95.4075
Freeport Energy Center,56152,55.01,4.18,34.76,-18.6,68.3,33.36,ng,28.9914,-95.4075
Freeport Energy Center,56152,51.07,7.14,30.13,-19.35,59.2,24.7,ng,28.9914,-95.4075
Freeport Energy Center,56152,64.7,21.75,38.17,-21.38,75.0,9.54,ng,29.002,-95.394
Freeport Energy Center,56152,90.05,61.08,86.22,-56.22,169.4,36.35,ng,28.9888,-95.3954
Freeport Energy Center,56152,43.13,9.96,25.45,-16.43,50.0,22.87,ng,28.9888,-95.3954
South Houston Green Power Site,55470,59.52,18.58,35.12,-18.16,69.0,16.48,ng,29.3782,-94.922
South Houston Green Power Site,55470,59.52,7.52,35.12,-21.25,69.0,22.97,ng,29.3782,-94.922
South Houston Green Power Site,55470,64.7,11.0,38.17,-20.54,75.0,9.55,ng,29.3781,-94.9328
South Houston Green Power Site,55470,89.14,7.81,80.42,-43.08,158.0,39.06,ng,29.3781,-94.9328
South Houston Green Power Site,55470,94.31,80.42,80.42,-51.16,158.0,44.23,ng,29.3781,-94.9328
