name,plant_id,Plant Code,Generator ID,Energy Source 1,match
Copper,9,9,1,Natural Gas,True
Limestone,298,298,1,Coal,True
Limestone,298,298,2,Coal,True
Canyon,791,791,1,Hydro,False
Canyon,791,791,2,Hydro,False
Lewisville,794,794,1,Hydro,False
Eagle,3437,3437,1,Hydro,False
Eagle,3437,3437,2,Hydro,False
Eagle,3437,3437,3,Hydro,False
Laredo,3439,3439,4,Natural Gas,True
Laredo,3439,3439,5,Natural Gas,True
Nueces,3441,3441,7,Natural Gas,True
Nueces,3441,3441,8,Natural Gas,True
Nueces,3441,3441,9,Natural Gas,True
Victoria,3443,3443,5,Natural Gas,True
Victoria,3443,3443,7,Natural Gas,True
Lake,3452,3452,1,Natural Gas,True
Lake,3452,3452,2,Natural Gas,True
Mountain,3453,3453,6,Natural Gas,True
Mountain,3453,3453,7,Natural Gas,True
Mountain,3453,3453,8,Natural Gas,True
Newman,3456,3456,1,Natural Gas,True
Newman,3456,3456,2,Natural Gas,True
Newman,3456,3456,3,Natural Gas,True
Newman,3456,3456,4,Natural Gas,True
Newman,3456,3456,5CA1,Natural Gas,True
Newman,3456,3456,5CT1,Natural Gas,True
Newman,3456,3456,5CT2,Natural Gas,True
Newman,3456,3456,CT1,Natural Gas,True
Newman,3456,3456,CT2,Natural Gas,True
Lewis,3457,3457,1,Natural Gas,True
Lewis,3457,3457,2,Natural Gas,True
Sabine,3459,3459,1,Natural Gas,True
Sabine,3459,3459,3,Natural Gas,True
Sabine,3459,3459,4,Natural Gas,True
Sabine,3459,3459,5,Natural Gas,True
Cedar,3460,3460,1,Natural Gas,True
Cedar,3460,3460,2,Natural Gas,True
Greens,3464,3464,73,Natural Gas,True
Greens,3464,3464,74,Natural Gas,True
Greens,3464,3464,81,Natural Gas,True
Greens,3464,3464,82,Natural Gas,True
Greens,3464,3464,83,Natural Gas,True
Greens,3464,3464,84,Natural Gas,True
T,3469,3469,3,Natural Gas,True
T,3469,3469,31,Natural Gas,True
T,3469,3469,32,Natural Gas,True
T,3469,3469,33,Natural Gas,True
T,3469,3469,34,Natural Gas,True
T,3469,3469,4,Natural Gas,True
T,3469,3469,41,Natural Gas,True
T,3469,3469,42,Natural Gas,True
T,3469,3469,43,Natural Gas,True
T,3469,3469,44,Natural Gas,True
T,3469,3469,51,Natural Gas,True
T,3469,3469,52,Natural Gas,True
T,3469,3469,53,Natural Gas,True
T,3469,3469,54,Natural Gas,True
T,3469,3469,55,Natural Gas,True
T,3469,3469,56,Natural Gas,True
T,3469,3469,GT1,Natural Gas,False
W,3470,3470,1,Natural Gas,True
W,3470,3470,2,Natural Gas,True
W,3470,3470,3,Natural Gas,True
W,3470,3470,4,Natural Gas,True
W,3470,3470,5,Coal,True
W,3470,3470,6,Coal,True
W,3470,3470,7,Coal,True
W,3470,3470,8,Coal,True
W,3470,3470,GT1,Natural Gas,False
Knox,3476,3476,5,Natural Gas,True
Wilkes,3478,3478,1,Natural Gas,True
Wilkes,3478,3478,2,Natural Gas,True
Wilkes,3478,3478,3,Natural Gas,True
Jones,3482,3482,1,Natural Gas,True
Jones,3482,3482,2,Natural Gas,True
Jones,3482,3482,3,Natural Gas,True
Jones,3482,3482,4,Natural Gas,True
Nichols,3484,3484,1,Natural Gas,True
Nichols,3484,3484,2,Natural Gas,True
