SEQUENCE_NUMBER,CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_FUEL_TYPE,CAMD_LATITUDE,CAMD_LONGITUDE,CAMD_STATUS,CAMD_STATUS_DATE,CAMD_RETIRE_YEAR,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,EIA_NAMEPLATE_CAPACITY,EIA_BOILER_ID,EIA_UNIT_TYPE,EIA_FUEL_TYPE,EIA_LATITUDE,EIA_LONGITUDE,EIA_RETIRE_YEAR,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
21.0,TX,Copper Station,9,CTG-1,1,,Pipeline Natural Gas,31.7569,-106.375,OPR,1980-07-01T00:00:00,0,CTG-1,1,TX,Copper,9.0,1,86.9,,GT,NG,31.7569,-106.375,0.0,0.0,9.0,,,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
100.0,TX,Oklaunion Power Station,127,1,1,663.9,Coal,34.0825,-99.1753,LTCS,2020-09-30T00:00:00,2020,1,1,TX,Oklaunion,127.0,1,720.0,1,ST,SUB,34.0825,-99.1753,0.0,0.0,127.0,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
150.0,TX,Limestone,298,LIM1,1,813.4,Coal,31.4219,-96.2525,OPR,1985-12-01T00:00:00,0,LIM1,1,TX,Limestone,298.0,1,893.0,LIM1,ST,SUB,31.4219,-96.2525,0.0,0.0,298.0,LIM1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
151.0,TX,Limestone,298,LIM2,2,813.4,Coal,31.4219,-96.2525,OPR,1985-12-01T00:00:00,0,LIM2,2,TX,Limestone,298.0,2,956.8,LIM2,ST,SUB,31.4219,-96.2525,0.0,0.0,298.0,LIM2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
2281.0,TX,Laredo,3439,4,4,100.0,Pipeline Natural Gas,27.5667,-99.5083,OPR,2008-06-25T00:00:00,0,4,4,TX,Laredo,3439.0,4,131.8,,GT,NG,27.5667,-99.5089,0.0,0.0,3439.0,,,4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
2282.0,TX,Laredo,3439,5,5,100.0,Pipeline Natural Gas,27.5667,-99.5083,OPR,2008-07-24T00:00:00,0,5,5,TX,Laredo,3439.0,5,131.8,,GT,NG,27.5667,-99.5089,0.0,0.0,3439.0,,,5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
2284.0,TX,Nueces Bay,3441,8,7,351.0,Pipeline Natural Gas,27.8182,-97.4189,OPR,2009-11-14T00:00:00,0,8,7,TX,Nueces Bay,3441.0,7,351.0,8,CA,NG,27.819412,-97.419203,0.0,0.0,3441.0,8,7,7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
2283.0,TX,Nueces Bay,3441,8,8,172.0,Pipeline Natural Gas,27.8182,-97.4189,OPR,2009-11-14T00:00:00,0,8,8,TX,Nueces Bay,3441.0,8,189.6,,CT,NG,27.819412,-97.419203,0.0,0.0,3441.0,,,8,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
2285.0,TX,Nueces Bay,3441,9,7,351.0,Pipeline Natural Gas,27.8182,-97.4189,OPR,2009-11-16T00:00:00,0,9,7,TX,Nueces Bay,3441.0,7,351.0,9,CA,NG,27.819412,-97.419203,0.0,0.0,3441.0,9,7,7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
2286.0,TX,Nueces Bay,3441,9,9,172.0,Pipeline Natural Gas,27.8182,-97.4189,OPR,2009-11-16T00:00:00,0,9,9,TX,Nueces Bay,3441.0,9,189.6,,CT,NG,27.819412,-97.419203,0.0,0.0,3441.0,,,9,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
2287.0,TX,Victoria Power Station,3443,9,5,160.0,Pipeline Natural Gas,28.7883,-97.01,OPR,2008-11-20T00:00:00,0,9,5,TX,Victoria,3443.0,5,180.0,HRSG9,CA,NG,28.7883,-97.01,0.0,0.0,3443.0,9,5,5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2d: Modify IDs; remove leading letters"
2288.0,TX,Victoria Power Station,3443,9,7,196.9,Pipeline Natural Gas,28.7883,-97.01,OPR,2008-11-20T00:00:00,0,9,7,TX,Victoria,3443.0,7,196.9,,CT,NG,28.7883,-97.01,0.0,0.0,3443.0,,,7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
2289.0,TX,Lake Hubbard,3452,1,1,396.5,Pipeline Natural Gas,32.8364,-96.5464,OPR,1970-06-18T00:00:00,0,1,1,TX,Lake Hubbard,3452.0,1,396.5,1,ST,NG,32.8358,-96.5458,0.0,0.0,3452.0,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
2290.0,TX,Lake Hubbard,3452,2,2,531.0,Pipeline Natural Gas,32.8364,-96.5464,OPR,1973-11-20T00:00:00,0,2,2,TX,Lake Hubbard,3452.0,2,531.0,2,ST,NG,32.8358,-96.5458,0.0,0.0,3452.0,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
2291.0,TX,Mountain Creek Generating Station,3453,6,6,136.0,Pipeline Natural Gas,32.7253,-96.9361,OPR,1956-02-22T00:00:00,0,6,6,TX,Mountain Creek,3453.0,6,135.7,6,ST,NG,32.7231,-96.9358,0.0,0.0,3453.0,6,6,6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
2292.0,TX,Mountain Creek Generating Station,3453,7,7,136.0,Pipeline Natural Gas,32.7253,-96.9361,OPR,1958-03-07T00:00:00,0,7,7,TX,Mountain Creek,3453.0,7,136.0,7,ST,NG,32.7231,-96.9358,0.0,0.0,3453.0,7,7,7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
