county,plant_number
Harris County,13
Hale County,1
Galveston County,3
Nueces County,3
Bastrop County,3
Chambers County,3
Hutchinson County,1
Bosque County,1
Fort Bend County,3
Howard County,1
Hidalgo County,3
Goliad County,1
Wharton County,3
El Paso County,3
Newton County,1
Travis County,2
Hood County,3
Harrison County,3
Ector County,3
Ellis County,2
Jefferson County,1
Kaufman County,1
Freestone County,1
Grimes County,2
Young County,1
San Patricio County,1
Guadalupe County,2
Tarrant County,1
Hardin County,1
Potter County,2
Hays County,1
Bexar County,5
Lubbock County,2
Jack County,1
Johnson County,1
Gregg County,1
Dallas County,2
Lamar County,2
Webb County,1
Montgomery County,1
Limestone County,1
Morris County,1
Rusk County,2
Mitchell County,1
Yoakum County,2
Nacogdoches County,1
Robertson County,2
Wilbarger County,1
Grayson County,1
Bell County,1
Ward County,1
Lamb County,2
Calhoun County,1
Hunt County,1
Palo Pinto County,1
Collin County,1
Brazos County,1
Orange County,3
Victoria County,3
Fayette County,2
San Jacinto County,1
Atascosa County,1
McLennan County,1
Cameron County,1
Denton County,1
Cherokee County,1
Brazoria County,1
Llano County,1
Henderson County,1
Titus County,1
Marion County,1
Wise County,1
