Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,EIA Model Estimates of NOx Emissions (Tons),EIA Model Estimates of Plant Level NOx Emissions (Tons),CEMS Reported Plant Level NOx Emissions (Tons),Selected NOx Emissions (Tons),Selected NOx Emissions (Metric Tonnes),NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
9,Copper,TX,ELECTRIC POWER,1.0,GT,NG,GAS,39534000.0,0.0,688550.0,688550.0,0.0,665265.0,Mcf,109.10346,109.10346,85.831,85.831,77.8653724032,WECC,EPE,El Paso Electric Company,Southwest
127,Oklaunion,TX,ELECTRIC POWER,1.0,ST,SUB,COAL,2595885860.0,0.0,27796356.0,27796356.0,0.0,1605301.0,Tons,3266.787535,3269.9237758,5215.36,5210.3578574609,4726.8056404435,TRE,SWPP,Southwest Power Pool,Central
127,Oklaunion,TX,ELECTRIC POWER,1.0,ST,DFO,PET,6037140.0,0.0,65241.0,65241.0,0.0,11314.0,Barrels,3.1362408,3269.9237758,5215.36,5.0021425391,4.5379139428,TRE,SWPP,Southwest Power Pool,Central
298,Limestone,TX,ELECTRIC POWER,2.0,ST,SUB,COAL,8659127603.0,0.0,90235412.0,90235412.0,0.0,5611655.0,Tons,8333.307675,8347.010004375,7470.256,7457.9929371579,6765.8468086346,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
298,Limestone,TX,ELECTRIC POWER,2.0,ST,NG,GAS,41261397.0,0.0,431763.0,431763.0,0.0,429877.0,Mcf,13.702329375,8347.010004375,7470.256,12.2630628421,11.1249776305,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3439,Laredo,TX,ELECTRIC POWER,2.0,GT,NG,GAS,111609000.0,0.0,1097978.0,1097978.0,0.0,1065997.0,Mcf,174.823508,174.823508,5.44,5.44,4.9351356255,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3441,Nueces Bay,TX,ELECTRIC POWER,2.0,CA,NG,GAS,114045000.0,0.0,624704.0,624704.0,0.0,610143.0,Mcf,8.542002,166.62485,98.834,5.0667125922,4.5964915107,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3441,Nueces Bay,TX,ELECTRIC POWER,2.0,CT,NG,GAS,1510529000.0,0.0,11541608.0,11541608.0,0.0,11291632.0,Mcf,158.082848,166.62485,98.834,93.7672874078,85.0651251091,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3443,Victoria,TX,ELECTRIC POWER,2.0,CA,NG,GAS,468869000.0,0.0,536823.0,536823.0,0.0,510632.0,Mcf,7.148848,1243.247068,84.951,0.4884803689,0.4431464837,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3443,Victoria,TX,ELECTRIC POWER,2.0,CT,NG,GAS,792107000.0,0.0,9274655.0,9274655.0,0.0,8829273.0,Mcf,1236.09822,1243.247068,84.951,84.4625196311,76.6238951566,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
