Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Sulfur Content of Fuel Used in EIA Model (%),EIA Model Estimates of SO2 Emissions (Tons),EIA Model Estimates of Plant Level SO2 Emissions (Tons),CEMS Reported Plant Level SO2 Emissions (Tons),Selected SO2 Emissions (Tons),Selected SO2 Emissions (Metric Tonnes),NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
9,Copper,TX,ELECTRIC POWER,1.0,GT,NG,GAS,39534000.0,0.0,688550.0,688550.0,0.0,665265.0,Mcf, ,0.1995795,0.1995795, ,0.1995795,0.1810573347,WECC,EPE,El Paso Electric Company,Southwest
127,Oklaunion,TX,ELECTRIC POWER,1.0,ST,SUB,COAL,2595885860.0,0.0,27796356.0,27796356.0,0.0,1605301.0,Tons,0.0020896224446381,1532.15554275,1534.5330841336,1778.89,1776.1338622305,1611.2980697001,TRE,SWPP,Southwest Power Pool,Central
127,Oklaunion,TX,ELECTRIC POWER,1.0,ST,DFO,PET,6037140.0,0.0,65241.0,65241.0,0.0,11314.0,Barrels,0.0027,2.3775413836,1534.5330841336,1778.89,2.7561377695,2.5003517822,TRE,SWPP,Southwest Power Pool,Central
298,Limestone,TX,ELECTRIC POWER,2.0,ST,SUB,COAL,8659127603.0,0.0,90235412.0,90235412.0,0.0,5611655.0,Tons,0.00281023395059033,6767.02091415,6767.0525358681,5685.296,5685.2694332154,5157.6425956775,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
298,Limestone,TX,ELECTRIC POWER,2.0,ST,NG,GAS,41261397.0,0.0,431763.0,431763.0,0.0,429877.0,Mcf, ,0.0316217181,6767.0525358681,5685.296,0.0265667846,0.0241012289,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3439,Laredo,TX,ELECTRIC POWER,2.0,GT,NG,GAS,111609000.0,0.0,1097978.0,1097978.0,0.0,1065997.0,Mcf, ,0.3197991,0.3197991,0.328,0.328,0.297559648,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3441,Nueces Bay,TX,ELECTRIC POWER,2.0,CA,NG,GAS,114045000.0,0.0,624704.0,624704.0,0.0,610143.0,Mcf, ,0.1830429,3.5705325,3.705,0.1899363595,0.172309135,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3441,Nueces Bay,TX,ELECTRIC POWER,2.0,CT,NG,GAS,1510529000.0,0.0,11541608.0,11541608.0,0.0,11291632.0,Mcf, ,3.3874896,3.5705325,3.705,3.5150636405,3.1888448158,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3443,Victoria,TX,ELECTRIC POWER,2.0,CA,NG,GAS,468869000.0,0.0,536823.0,536823.0,0.0,510632.0,Mcf, ,0.1531896,2.8019715,2.977,0.1627587715,0.1476537889,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3443,Victoria,TX,ELECTRIC POWER,2.0,CT,NG,GAS,792107000.0,0.0,9274655.0,9274655.0,0.0,8829273.0,Mcf, ,2.6487819,2.8019715,2.977,2.8142412285,2.5530628944,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
