"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Program Code","EPA Region","NERC Region","County","County Code","FIPS Code","Source Category","Latitude","Longitude","Owner/Operator","SO2 Phase","NOx Phase","Unit Type","Primary Fuel Type","Secondary Fuel Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Commercial Operation Date","Operating Status","Max Hourly HI Rate (mmBtu/hr)","Associated Generators & Nameplate Capacity (MWe)"
"TX","Copper Station",9,"CTG-1",,2018,"CSOSG2",6,,"El Paso County","TX141","141","Electric Utility",31.7569,-106.375,"El Paso Electric Company (Owner),El Paso Electric Company (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1980-07-01","Operating",880,"1 (70)"
"TX","Oklaunion Power Station",127,"1",,2018,"ARP, CSOSG2, MATS",6,"ERCOT","Wilbarger County","TX487","487","Electric Utility",34.0825,-99.1753,"Public Service Company of Oklahoma (Owner),Oklahoma Municipal Power Authority (Owner),Brownsville Public Utilities Board (Owner),AEP Energy Partners Inc (Owner) (Ended Sep 25, 2018),AEP Texas Inc (Owner) (Started Sep 25, 2018),Public Service Company of Oklahoma (Operator)","Phase 2","Early Election","Dry bottom wall-fired boiler","Coal",,"Wet Limestone","Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator,Wet Scrubber","Halogenated PAC Sorbent Injection","1986-12-24","Operating",7900,"1 (663.9)"
"TX","Limestone",298,"LIM1",,2018,"ARP, CSOSG2, MATS",6,"ERCOT","Limestone County","TX293","293","Electric Utility",31.4219,-96.2525,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2","Early Election","Tangentially-fired","Coal",,"Wet Limestone","Overfire Air","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","1985-12-01","Operating",11107,"1 (813.4)"
"TX","Limestone",298,"LIM2",,2018,"ARP, CSOSG2, MATS",6,"ERCOT","Limestone County","TX293","293","Electric Utility",31.4219,-96.2525,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2","Early Election","Tangentially-fired","Coal",,"Wet Limestone","Overfire Air","Electrostatic Precipitator","Halogenated PAC Sorbent Injection","1985-12-01","Operating",11107,"2 (813.4)"
"TX","Laredo",3439,"4",,2018,"ARP, CSOSG2",6,"ERCOT","Webb County","TX479","479","Electric Utility",27.5667,-99.5083,"Laredo WLE, LP (Owner),Laredo WLE, LP (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection,Selective Catalytic Reduction",,,"2008-06-26","Operating",1058.1,"4 (100)"
"TX","Laredo",3439,"5",,2018,"ARP, CSOSG2",6,"ERCOT","Webb County","TX479","479","Electric Utility",27.5667,-99.5083,"Laredo WLE, LP (Owner),Laredo WLE, LP (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection,Selective Catalytic Reduction",,,"2008-07-25","Operating",949.1,"5 (100)"
"TX","Nueces Bay",3441,"8",,2018,"ARP, CSOSG2",6,"ERCOT","Nueces County","TX355","355","Electric Utility",27.8182,-97.4189,"Nueces Bay WLE, LP (Owner),Nueces Bay WLE, LP (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"2009-11-18","Operating",2610.4,"8 (172), 7 (351)"
"TX","Nueces Bay",3441,"9",,2018,"ARP, CSOSG2",6,"ERCOT","Nueces County","TX355","355","Electric Utility",27.8182,-97.4189,"Nueces Bay WLE, LP (Owner),Nueces Bay WLE, LP (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"2009-11-21","Operating",2638.9,"9 (172), 7 (351)"
"TX","Victoria Power Station",3443,"9",,2018,"ARP, CSOSG2",6,"ERCOT","Victoria County","TX469","469","Electric Utility",28.7883,-97.01,"Victoria WLE, LP (Owner),Victoria WLE, LP (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"2008-11-20","Operating",2444,"5 (160), 7 (196.9)"
"TX","Lake Hubbard",3452,"1",,2018,"ARP, CSOSG2",6,"ERCOT","Dallas County","TX113","113","Electric Utility",32.8364,-96.5464,"Luminant Generation Company LLC (Owner),Luminant Generation Company LLC (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Diesel Oil",,"Combustion Modification/Fuel Reburning",,,"1970-06-18","Operating",4620,"1 (396.5)"
"TX","Lake Hubbard",3452,"2",,2018,"ARP, CSOSG2",6,"ERCOT","Dallas County","TX113","113","Electric Utility",32.8364,-96.5464,"Luminant Generation Company LLC (Owner),Luminant Generation Company LLC (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Diesel Oil",,"Selective Catalytic Reduction,Low NOx Burner Technology w/ Overfire Air",,,"1973-11-20","Operating",5598,"2 (531)"
"TX","Mountain Creek Generating Station",3453,"6",,2018,"ARP, CSOSG2",6,"ERCOT","Dallas County","TX113","113","Electric Utility",32.7253,-96.9361,"Mountain Creek Power, LLC (Owner),Mountain Creek Power, LLC (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Low NOx Burner Technology (Dry Bottom only),Combustion Modification/Fuel Reburning",,,"1956-02-22","Operating",1674,"6 (136)"
"TX","Mountain Creek Generating Station",3453,"7",,2018,"ARP, CSOSG2",6,"ERCOT","Dallas County","TX113","113","Electric Utility",32.7253,-96.9361,"Mountain Creek Power, LLC (Owner),Mountain Creek Power, LLC (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Low NOx Burner Technology (Dry Bottom only),Combustion Modification/Fuel Reburning",,,"1958-03-07","Operating",1674,"7 (136)"
