param,date,county
Lead (TSP) LC,20170101,Anderson
Lead (TSP) LC,20170101,Andrews
Lead (TSP) LC,20170101,Angelina
Lead (TSP) LC,20170101,Aransas
Lead (TSP) LC,20170101,Archer
Lead (TSP) LC,20170101,Armstrong
Lead (TSP) LC,20170101,Atascosa
Lead (TSP) LC,20170101,Austin
Lead (TSP) LC,20170101,Bailey
Lead (TSP) LC,20170101,Bandera
Lead (TSP) LC,20170101,Bastrop
Lead (TSP) LC,20170101,Baylor
Lead (TSP) LC,20170101,Bee
Lead (TSP) LC,20170101,Bell
Lead (TSP) LC,20170101,Bexar
Lead (TSP) LC,20170101,Blanco
Lead (TSP) LC,20170101,Borden
Lead (TSP) LC,20170101,Bosque
Lead (TSP) LC,20170101,Bowie
Lead (TSP) LC,20170101,Brazoria
Lead (TSP) LC,20170101,Brazos
Lead (TSP) LC,20170101,Brewster
Lead (TSP) LC,20170101,Briscoe
Lead (TSP) LC,20170101,Brooks
Lead (TSP) LC,20170101,Brown
Lead (TSP) LC,20170101,Burleson
Lead (TSP) LC,20170101,Burnet
Lead (TSP) LC,20170101,Caldwell
Lead (TSP) LC,20170101,Calhoun
Lead (TSP) LC,20170101,Callahan
Lead (TSP) LC,20170101,Camp
Lead (TSP) LC,20170101,Carson
Lead (TSP) LC,20170101,Cass
Lead (TSP) LC,20170101,Castro
Lead (TSP) LC,20170101,Chambers
Lead (TSP) LC,20170101,Cherokee
Lead (TSP) LC,20170101,Childress
Lead (TSP) LC,20170101,Clay
Lead (TSP) LC,20170101,Cochran
Lead (TSP) LC,20170101,Coke
Lead (TSP) LC,20170101,Coleman
Lead (TSP) LC,20170101,Collingsworth
Lead (TSP) LC,20170101,Colorado
Lead (TSP) LC,20170101,Comal
Lead (TSP) LC,20170101,Comanche
Lead (TSP) LC,20170101,Concho
Lead (TSP) LC,20170101,Cooke
Lead (TSP) LC,20170101,Coryell
Lead (TSP) LC,20170101,Cottle
Lead (TSP) LC,20170101,Crane
Lead (TSP) LC,20170101,Crockett
Lead (TSP) LC,20170101,Crosby
Lead (TSP) LC,20170101,Culberson
Lead (TSP) LC,20170101,Dallam
Lead (TSP) LC,20170101,Dallas
Lead (TSP) LC,20170101,Dawson
Lead (TSP) LC,20170101,Deaf Smith
Lead (TSP) LC,20170101,Delta
Lead (TSP) LC,20170101,Denton
Lead (TSP) LC,20170101,DeWitt
Lead (TSP) LC,20170101,Dickens
Lead (TSP) LC,20170101,Dimmit
Lead (TSP) LC,20170101,Donley
Lead (TSP) LC,20170101,Duval
Lead (TSP) LC,20170101,Eastland
Lead (TSP) LC,20170101,Ector
Lead (TSP) LC,20170101,Edwards
Lead (TSP) LC,20170101,Ellis
Lead (TSP) LC,20170101,Erath
Lead (TSP) LC,20170101,Falls
Lead (TSP) LC,20170101,Fannin
Lead (TSP) LC,20170101,Fayette
Lead (TSP) LC,20170101,Fisher
Lead (TSP) LC,20170101,Floyd
Lead (TSP) LC,20170101,Foard
Lead (TSP) LC,20170101,Fort Bend
Lead (TSP) LC,20170101,Franklin
Lead (TSP) LC,20170101,Freestone
Lead (TSP) LC,20170101,Frio
Lead (TSP) LC,20170101,Gaines
Lead (TSP) LC,20170101,Galveston
Lead (TSP) LC,20170101,Garza
Lead (TSP) LC,20170101,Gillespie
Lead (TSP) LC,20170101,Glasscock
Lead (TSP) LC,20170101,Goliad
Lead (TSP) LC,20170101,Gonzales
Lead (TSP) LC,20170101,Gray
Lead (TSP) LC,20170101,Grayson
Lead (TSP) LC,20170101,Gregg
Lead (TSP) LC,20170101,Grimes
Lead (TSP) LC,20170101,Guadalupe
Lead (TSP) LC,20170101,Hale
Lead (TSP) LC,20170101,Hall
Lead (TSP) LC,20170101,Hamilton
Lead (TSP) LC,20170101,Hansford
Lead (TSP) LC,20170101,Hardeman
Lead (TSP) LC,20170101,Hardin
Lead (TSP) LC,20170101,Harris
Lead (TSP) LC,20170101,Harrison
Lead (TSP) LC,20170101,Hartley
Lead (TSP) LC,20170101,Haskell
Lead (TSP) LC,20170101,Hays
Lead (TSP) LC,20170101,Hemphill
Lead (TSP) LC,20170101,Henderson
Lead (TSP) LC,20170101,Hidalgo
Lead (TSP) LC,20170101,Hill
Lead (TSP) LC,20170101,Hockley
Lead (TSP) LC,20170101,Hood
Lead (TSP) LC,20170101,Hopkins
Lead (TSP) LC,20170101,Houston
Lead (TSP) LC,20170101,Howard
Lead (TSP) LC,20170101,Hudspeth
Lead (TSP) LC,20170101,Hunt
Lead (TSP) LC,20170101,Hutchinson
Lead (TSP) LC,20170101,Irion
Lead (TSP) LC,20170101,Jack
Lead (TSP) LC,20170101,Jackson
Lead (TSP) LC,20170101,Jasper
Lead (TSP) LC,20170101,Jeff Davis
Lead (TSP) LC,20170101,Jefferson
Lead (TSP) LC,20170101,Jim Hogg
Lead (TSP) LC,20170101,Jim Wells
Lead (TSP) LC,20170101,Johnson
Lead (TSP) LC,20170101,Jones
Lead (TSP) LC,20170101,Karnes
Lead (TSP) LC,20170101,Kaufman
Lead (TSP) LC,20170101,Kendall
Lead (TSP) LC,20170101,Kenedy
Lead (TSP) LC,20170101,Kent
Lead (TSP) LC,20170101,Kerr
Lead (TSP) LC,20170101,Kimble
Lead (TSP) LC,20170101,King
Lead (TSP) LC,20170101,Kinney
Lead (TSP) LC,20170101,Kleberg
Lead (TSP) LC,20170101,Knox
Lead (TSP) LC,20170101,Lamar
Lead (TSP) LC,20170101,Lamb
Lead (TSP) LC,20170101,Lampasas
Lead (TSP) LC,20170101,La Salle
Lead (TSP) LC,20170101,Lavaca
Lead (TSP) LC,20170101,Lee
Lead (TSP) LC,20170101,Leon
Lead (TSP) LC,20170101,Liberty
Lead (TSP) LC,20170101,Limestone
Lead (TSP) LC,20170101,Lipscomb
Lead (TSP) LC,20170101,Live Oak
Lead (TSP) LC,20170101,Llano
Lead (TSP) LC,20170101,Loving
Lead (TSP) LC,20170101,Lubbock
Lead (TSP) LC,20170101,Lynn
Lead (TSP) LC,20170101,McCulloch
Lead (TSP) LC,20170101,McLennan
Lead (TSP) LC,20170101,McMullen
Lead (TSP) LC,20170101,Madison
Lead (TSP) LC,20170101,Marion
Lead (TSP) LC,20170101,Martin
Lead (TSP) LC,20170101,Mason
Lead (TSP) LC,20170101,Matagorda
Lead (TSP) LC,20170101,Maverick
Lead (TSP) LC,20170101,Medina
Lead (TSP) LC,20170101,Menard
Lead (TSP) LC,20170101,Midland
Lead (TSP) LC,20170101,Milam
Lead (TSP) LC,20170101,Mills
Lead (TSP) LC,20170101,Mitchell
Lead (TSP) LC,20170101,Montague
Lead (TSP) LC,20170101,Montgomery
Lead (TSP) LC,20170101,Moore
Lead (TSP) LC,20170101,Morris
Lead (TSP) LC,20170101,Motley
Lead (TSP) LC,20170101,Nacogdoches
Lead (TSP) LC,20170101,Navarro
Lead (TSP) LC,20170101,Newton
Lead (TSP) LC,20170101,Nolan
Lead (TSP) LC,20170101,Nueces
Lead (TSP) LC,20170101,Ochiltree
Lead (TSP) LC,20170101,Oldham
Lead (TSP) LC,20170101,Orange
Lead (TSP) LC,20170101,Palo Pinto
Lead (TSP) LC,20170101,Panola
Lead (TSP) LC,20170101,Parker
Lead (TSP) LC,20170101,Parmer
Lead (TSP) LC,20170101,Pecos
Lead (TSP) LC,20170101,Polk
Lead (TSP) LC,20170101,Presidio
Lead (TSP) LC,20170101,Rains
Lead (TSP) LC,20170101,Randall
Lead (TSP) LC,20170101,Reagan
Lead (TSP) LC,20170101,Real
Lead (TSP) LC,20170101,Red River
